case_number,year,application_start_date,final_date,gross_site_area_acres,council_district,is_protested,delta_max_height_ft,delta_max_far,delta_max_bldg_cov_pct,delta_min_lot_sqft,delta_max_height_ft_is_missing,delta_max_far_is_missing,delta_max_bldg_cov_pct_is_missing,delta_min_lot_sqft_is_missing,staff_recommendation_cat,agenda_text_raw
C14-2009-0106,2009.0,2009-09-03,2012-02-08 11:47:16,23.98,,,,,,,1,1,1,1,Disapproval,"C14-2009-0106 - Rosewood Neighborhood Planning Area Vertical Mixed Use Building (V) Zoning Opt-in/Opt-Out Process - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by applying Vertical Mixed Use Building (V) zoning regulations to certain tracts within the Rosewood Neighborhood Planning Area, bounded by Manor Road on the north; Airport Boulevard on the east; Northwestern Avenue and Webberville Road on the south; and Northwestern Avenue to Rosewood Avenue to Chicon Street to East 12th Street, north along the Austin and Northwestern Railroad to Martin Luther King, Jr. Boulevard to Stafford Street to Rogers Avenue to Walnut Avenue on the west (Boggy Creek, Tannehill Branch, Town Lake Watersheds). Regulations governing Vertical Mixed Use Building dimensional standards; allowable uses for a Vertical Mixed Use Building in office base district zoning; relaxed parking standards for commercial uses in a Vertical Mixed Use Building; and affordability requirements for Vertical Mixed Use Building developments will be considered for adoption. The Austin City Council may consider adopting all or some of these regulations, or amending the Vertical Mixed Use (VMU) overlay district to exclude properties from the overlay district. Planning Commission Recommendation: To grant vertical mixed use building (V) district zoning and to exclude a tract from the vertical mixed use overlay district. Applicant and Agent: Neighborhood Planning and Zoning Department. City Staff: Melissa Laursen, 974-7226."
C14-2009-0168,2009.0,2009-12-31,2012-03-06 16:22:47,4.89,10.0,1.0,20.0,1.3,45.0,0.0,0,0,0,0,Approval,"C14-2009-0168 - Uncle Bob's 2222 - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 10307 FM 2222 (Bull Creek Watershed) from limited office (LO) district zoning to general commercial services (CS) district zoning. Staff Recommendation: To grant warehouse/limited office-conditional overlay. (W/LO-CO) combining district zoning. Zoning & Platting Commission Recommendation: To grant general commercial services-conditional overlay (CS-CO) combining district zoning. Applicant: Sovran Acquisition. L.P. (Robert McGregor) Agent: Stanley Consultants (Andrew Dodson) City Staff: Clark Patterson, 974-7691. | C14-2009-0168 - Uncle Bob's 2222 - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 10307 FM 2222 (Bull Creek Watershed) from limited office (LO) district zoning to general commercial services (CS) district zoning. Staff Recommendation: To grant warehouse/limited office-conditional overlay. (W/LO-CO) combining district zoning. Zoning & Platting Commission Recommendation: To grant general commercial services-conditional overlay (CS-CO) combining district zoning. Applicant: Sovran Acquisition. L.P. (Robert McGregor) Agent: Stanley Consultants (Andrew Dodson) City Staff: Clark Patterson, 974-7691."
C14-2010-0017,2010.0,2010-02-17,2012-03-20 10:18:02,6.689,10.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,Approval,"C14-2010-0017 - Great Hills Country Club - Conduct a public hearing and approve second/third readings of an ordinance amending 25-2 of the Austin City Code by zoning and rezoning property locally known as 5914 Lost Horizon Drive (Bull Creek Watershed) from community commercial-conditional overlay (GR-CO) combining district zoning to community commercial-conditional overlay (GR-CO) combining district zoning to change a condition of zoning. First Reading approved on June 24, 2010. Vote: 5-2 (Riley and Morrison voted Nay). Applicant: Great Hills Golf Club of Austin, Inc. (Larry Harper). Agent: Randall Jones & Associates Engineering, Inc. (R. Brent Jones). City Staff: Sherri Sirwaitis, 974-3057. | C14-2010-0017 - Great Hills Country Club - Conduct a public hearing and approve second/third readings of an ordinance amending 25-2 of the Austin City Code by zoning and rezoning property locally known as 5914 Lost Horizon Drive (Bull Creek Watershed) from community commercial-conditional overlay (GR-CO) combining district zoning to community commercial-conditional overlay (GR-CO) combining district zoning to change a condition of zoning. First Reading approved on June 24, 2010. Vote: 5-2 (Riley and Morrison voted Nay). Applicant: Great Hills Golf Club of Austin, Inc. (Larry Harper). Agent: Randall Jones & Associates Engineering, Inc. (R. Brent Jones). City Staff: Sherri Sirwaitis, 974-3057."
C14-2010-0025,2010.0,2010-02-26,,1.011,7.0,0.0,25.0,1.6,55.0,0.0,0,0,0,0,Approval,"C14-2010-0025 - EP Austin - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 5011 Burnett Rd. (Shoal Creek Watershed) from family residence-neighborhood plan (SF-3-NP) combining district zoning to general office-mixed use building-neighborhood plan (GO-MU-NP) combining district zoning. Staff Recommendation: To grant general office-mixed use-conditional overlay-neighborhood plan (GO-MU-CO-NP) combining district zoning. Planning Commission Recommendation: To grant general office-mixed use-conditional overlay-neighborhood plan (GO-MU-CO-NP) combining district zoning. Applicant: EP Austin Properties (George C. Thorne, Jr.) Agent: Armbrust & Brown, L.L.P. (Richard Suttle). City Staff: Clark Patterson, 974-7691."
C14-2010-0034,2010.0,2010-03-17,,8.21,5.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,Approval,"C14-2010-0034 - Stonegate Two - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 2500 West William Cannon Drive (Williamson Creek Watershed) from limited office-conditional overlay (LO-CO) combining district zoning to limited office-conditional overlay (LO-CO) combining district zoning, to change a condition of zoning with conditions. Staff Recommendation: To grant limited office-conditional overlay (LO-CO) combining district zoning, to change a condition of zoning with conditions. Zoning and Platting Commission Recommendation: To grant limited office-conditional overlay (LO-CO) combining district zoning, to change a condition of zoning with conditions. Owner/Applicant: KC 1 Stonegate L.P. (John P. ""Sean"" Cummings, Jr.). Agent: Jim Bennett Consulting (Jim Bennett). City Staff: Wendy Rhoades, 974-7719. A valid petition has been filed in opposition to this rezoning request. | C14-2010-0034 - Stonegate Two - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 2500 West William Cannon Drive (Williamson Creek Watershed) from limited office-conditional overlay (LO-CO) combining district zoning to limited office-conditional overlay (LO-CO) combining district zoning, to change a condition of zoning with conditions. Staff Recommendation: To grant limited office-conditional overlay (LO-CO) combining district zoning, to change a condition of zoning with conditions. Zoning and Platting Commission Recommendation: To grant limited office-conditional overlay (LO-CO) combining district zoning, to change a condition of zoning with conditions. Owner/Applicant: KC 1 Stonegate L.P. (John P. ""Sean"" Cummings, Jr.). Agent: Jim Bennett Consulting (Jim Bennett). City Staff: Wendy Rhoades, 974-7719. A valid petition has been filed in opposition to this rezoning request. | C14-2010-0034 - Stonegate Two - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 2500 West William Cannon Drive (Williamson Creek Watershed) from limited office-conditional overlay (LO-CO) combining district zoning to limited office-conditional overlay (LO-CO) combining district zoning, to change a condition of zoning with conditions. Staff Recommendation: To grant limited office-conditional overlay (LO-CO) combining district zoning, to change a condition of zoning with conditions. Zoning and Platting Commission Recommendation: To grant limited office-conditional overlay (LO-CO) combining district zoning, to change a condition of zoning with conditions. Owner/Applicant: KC 1 Stonegate L.P. (John P. ""Sean"" Cummings, Jr.). Agent: Jim Bennett Consulting (Jim Bennett). City Staff: Wendy Rhoades, 974-7719. A valid petition has been filed in opposition to this rezoning request. | C14-2010-0034 - Stonegate Two - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 2500 West William Cannon Drive (Williamson Creek Watershed) from limited office-conditional overlay (LO-CO) combining district zoning to limited office-conditional overlay (LO-CO) combining district zoning, to change a condition of zoning with conditions. Staff Recommendation: To grant limited office-conditional overlay (LO-CO) combining district zoning, to change a condition of zoning with conditions. Zoning and Platting Commission Recommendation: To grant limited office-conditional overlay (LO-CO) combining district zoning, to change a condition of zoning with conditions. Owner/Applicant: KC 1 Stonegate L.P. (John P. ""Sean"" Cummings, Jr.). Agent: Jim Bennett Consulting (Jim Bennett). City Staff: Wendy Rhoades, 974-7719. A valid petition has been filed in opposition to this rezoning request. | C14-2010-0034 - Stonegate Two - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 2500 West William Cannon Drive (Williamson Creek Watershed) from limited office-conditional overlay (LO-CO) combining district zoning to limited office-conditional overlay (LO-CO) combining district zoning, to change a condition of zoning with conditions. Staff Recommendation: To grant limited office-conditional overlay (LO-CO) combining district zoning, to change a condition of zoning with conditions. Zoning and Platting Commission Recommendation: To grant limited office-conditional overlay (LO-CO) combining district zoning, to change a condition of zoning with conditions. Owner/Applicant: KC 1 Stonegate L.P. (John P. ""Sean"" Cummings, Jr.). Agent: Jim Bennett Consulting (Jim Bennett). City Staff: Wendy Rhoades, 974-7719. A valid petition has been filed in opposition to this rezoning request."
C14-2010-0039,2010.0,2010-03-25,,0.46,9.0,1.0,0.0,0.0999999999999999,15.0,0.0,0,0,0,0,Approval,C14-2010-0039 - Newning Avenue Townhomes- Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 1307 Newning Avenue (Blunn Creek Watershed) from family residence-neighborhood combining conservation district-neighborhood plan (SF-3-NCCD-NP) combining district zoning to urban family residence- neighborhood combining conservation district-neighborhood plan (SF-5-NCCD-NP) combining district zoning. Staff Recommendation: To grant urban family residence-neighborhood combining conservation district-conditional overlay-neighborhood plan (SF-5-NCCD-CO-NP) combining district zoning. Planning Commission Recommendation: To deny urban family residence-neighborhood combining conservation district- neighborhood plan (SF-5-NCCD-NP) combining district zoning. Applicant: Brenda Reese. Agent: Brenda Reese. City Staff: Stephen Rye 974-7604.
C14-2010-0045,2010.0,2010-04-07,,8.06,7.0,0.0,5.0,0.35,15.0,2250.0,0,0,0,0,Approval,
C14-2010-0048,2010.0,2010-04-14,,0.0,,1.0,,,,,1,1,1,1,Approval,"C14-2010-0048.01 - North Lamar Neighborhood Plan Combining District - Tract 32 - Approve second reading of an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 320 E. Rundberg Lane from family residence (SF-3) district zoning, multi-family residence-low density (MF-2) district zoning, multi-family residence-medium density (MF-3) district zoning, limited office (LO) district zoning, community commercial (GR) district zoning, and community commercial-mixed use-conditional overlay (GR-MU-CO) combining district zoning to public-neighborhood plan (P-NP) combining district zoning, community commercial-mixed use-vertical mixed use-conditional overlay-neighborhood plan (GR-MU-V-CO-NP) combining district zoning, warehouse/limited office-conditional overlay-neighborhood plan (W/LO-CO-NP) combining district zoning, commercial services-vertical mixed use-conditional overlay-neighborhood plan (CS-V-CO-NP) combining district zoning. First reading approved on July 29, 2010. Vote: 7-0. Applicant and Agent: City of Austin, Planning and Development Review Department. City Staff: Mark Walters, 974-7695, Jacob Browning, 974-7657, Greg Dutton, 974-3509."
C14-2010-0049,2010.0,2010-04-15,,669.83,,0.0,,,,,1,1,1,1,Approval,
C14-2010-0051,2010.0,,,0.0,,0.0,,,,,1,1,1,1,Missing,
C14-2010-0052,2010.0,2010-04-21,,18.357,,1.0,,,,,1,1,1,1,Approval,"C14-2010-0052 - West Austin Neighborhood Group Planning Area Rezonings - Approve third reading of an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as the West Austin Neighborhood Group Planning Area, generally bounded by West 35th Street to the north, MoPac Expressway to the east, Lady Bird Lake to the south and Lake Austin to the west (Johnson Creek, Lake Austin, Lady Bird Lake, Taylor Slough South, Taylor Slough North Watersheds). The proposed zoning changes will create a Neighborhood Plan Combining District (NPCD) covering the entire area. The proposed zoning changes also implement the land use recommendations of the Central West Austin Combined Neighborhood Plan, NP-2010-0027, on 13 tracts of land (16.18 acres). Under the proposed West Austin Neighborhood Group NPCD, the following design tools are proposed to be applied area-wide: ""parking placement and impervious cover restrictions"" and ""garage placement"". Another option that could be approved by City Council is the ""front porch setback"" design tool. The following special use option is proposed to be applied area-wide: ""small-lot amnesty"". Other special use options that could be approved by City Council on a neighborhood-wide basis include: ""cottage"", ""urban home"", ""secondary apartment"", and ""corner store"". Other special use options that could be approved by City Council on a parcel-specific basis include ""residential infill"", ""neighborhood urban center"", and ""neighborhood mixed-use building"". There is also a proposal to create more restrictions on front and side yard parking, and mobile food vending. The City Council may approve a zoning change to any of the following: rural residence (RR) district zoning; single family residence large lot (SF-1) district zoning; single family residence standard lot (SF-2) district zoning; family residence (SF-3) district zoning; single family residence small lot (SF-4A) district zoning; single family residence condominium site (SF-4B) district zoning; urban family residence (SF-5) district zoning; townhouse & condominium residence (SF-6) district zoning; multifamily residence limited density (MF-1) district zoning; multifamily residence low density (MF-2) district zoning; multifamily residence medium density (MF-3) district zoning; multifamily residence moderate-high density (MF-4) district zoning; multifamily residence high density (MF-5) district zoning; multifamily residence highest density (MF-6) district zoning; neighborhood office (NO) district zoning; limited office (LO) district zoning; general office (GO) district zoning; community recreation (CR) district zoning; neighborhood commercial (LR) district zoning; community commercial (GR) district zoning; warehouse/limited office (W/LO) district zoning; general commercial services (CS) district zoning; commercial-liquor sales (CS-1) district zoning; and public (P) district zoning. A conditional overlay (CO), historic landmark combining district (H), historic area combining district (HD), mixed use combining district overlay (MU), vertical mixed use building (V), or neighborhood plan combining district (NP) may also be added to these zoning base districts. First reading approved on August 19, 2010. Second reading approved on September 23, 2010. Applicant: City of Austin. Agent: Planning and Development Review Department. City Staff: Paul DiGiuseppe, 974-2865. A valid petition has been filed on Tracts 104 and 105 in opposition to the request. | C14-2010-0052 - West Austin Neighborhood Group Planning Area Rezonings - Approve third reading of an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as the West Austin Neighborhood Group Planning Area, generally bounded by West 35th Street to the north, MoPac Expressway to the east, Lady Bird Lake to the south and Lake Austin to the west (Johnson Creek, Lake Austin, Lady Bird Lake, Taylor Slough South, Taylor Slough North Watersheds). The proposed zoning changes will create a Neighborhood Plan Combining District (NPCD) covering the entire area. The proposed zoning changes also implement the land use recommendations of the Central West Austin Combined Neighborhood Plan, NP-2010-0027, on 13 tracts of land (16.18 acres). Under the proposed West Austin Neighborhood Group NPCD, the following design tools are proposed to be applied area-wide: ""parking placement and impervious cover restrictions"" and ""garage placement"". Another option that could be approved by City Council is the ""front porch setback"" design tool. The following special use option is proposed to be applied area-wide: ""small-lot amnesty"". Other special use options that could be approved by City Council on a neighborhood-wide basis include: ""cottage"", ""urban home"", ""secondary apartment"", and ""corner store"". Other special use options that could be approved by City Council on a parcel-specific basis include ""residential infill"", ""neighborhood urban center"", and ""neighborhood mixed-use building"". There is also a proposal to create more restrictions on front and side yard parking, and mobile food vending. The City Council may approve a zoning change to any of the following: rural residence (RR) district zoning; single family residence large lot (SF-1) district zoning; single family residence standard lot (SF-2) district zoning; family residence (SF-3) district zoning; single family residence small lot (SF-4A) district zoning; single family residence condominium site (SF-4B) district zoning; urban family residence (SF-5) district zoning; townhouse & condominium residence (SF-6) district zoning; multifamily residence limited density (MF-1) district zoning; multifamily residence low density (MF-2) district zoning; multifamily residence medium density (MF-3) district zoning; multifamily residence moderate-high density (MF-4) district zoning; multifamily residence high density (MF-5) district zoning; multifamily residence highest density (MF-6) district zoning; neighborhood office (NO) district zoning; limited office (LO) district zoning; general office (GO) district zoning; community recreation (CR) district zoning; neighborhood commercial (LR) district zoning; community commercial (GR) district zoning; warehouse/limited office (W/LO) district zoning; general commercial services (CS) district zoning; commercial-liquor sales (CS-1) district zoning; and public (P) district zoning. A conditional overlay (CO), historic landmark combining district (H), historic area combining district (HD), mixed use combining district overlay (MU), vertical mixed use building (V), or neighborhood plan combining district (NP) may also be added to these zoning base districts. First reading approved on August 19, 2010. Second reading approved on September 23, 2010. Applicant: City of Austin. Agent: Planning and Development Review Department. City Staff: Paul DiGiuseppe, 974-2865. A valid petition has been filed on Tracts 104 and 105 in opposition to the request. | C14-2010-0052 - West Austin Neighborhood Group Planning Area Rezonings - Approve third reading of an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as the West Austin Neighborhood Group Planning Area, generally bounded by West 35th Street to the north, MoPac Expressway to the east, Lady Bird Lake to the south and Lake Austin to the west (Johnson Creek, Lake Austin, Lady Bird Lake, Taylor Slough South, Taylor Slough North Watersheds). The proposed zoning changes will create a Neighborhood Plan Combining District (NPCD) covering the entire area. The proposed zoning changes also implement the land use recommendations of the Central West Austin Combined Neighborhood Plan, NP-2010-0027, on 13 tracts of land (16.18 acres). Under the proposed West Austin Neighborhood Group NPCD, the following design tools are proposed to be applied area-wide: ""parking placement and impervious cover restrictions"" and ""garage placement"". Another option that could be approved by City Council is the ""front porch setback"" design tool. The following special use option is proposed to be applied area-wide: ""small-lot amnesty"". Other special use options that could be approved by City Council on a neighborhood-wide basis include: ""cottage"", ""urban home"", ""secondary apartment"", and ""corner store"". Other special use options that could be approved by City Council on a parcel-specific basis include ""residential infill"", ""neighborhood urban center"", and ""neighborhood mixed-use building"". There is also a proposal to create more restrictions on front and side yard parking, and mobile food vending. The City Council may approve a zoning change to any of the following: rural residence (RR) district zoning; single family residence large lot (SF-1) district zoning; single family residence standard lot (SF-2) district zoning; family residence (SF-3) district zoning; single family residence small lot (SF-4A) district zoning; single family residence condominium site (SF-4B) district zoning; urban family residence (SF-5) district zoning; townhouse & condominium residence (SF-6) district zoning; multifamily residence limited density (MF-1) district zoning; multifamily residence low density (MF-2) district zoning; multifamily residence medium density (MF-3) district zoning; multifamily residence moderate-high density (MF-4) district zoning; multifamily residence high density (MF-5) district zoning; multifamily residence highest density (MF-6) district zoning; neighborhood office (NO) district zoning; limited office (LO) district zoning; general office (GO) district zoning; community recreation (CR) district zoning; neighborhood commercial (LR) district zoning; community commercial (GR) district zoning; warehouse/limited office (W/LO) district zoning; general commercial services (CS) district zoning; commercial-liquor sales (CS-1) district zoning; and public (P) district zoning. A conditional overlay (CO), historic landmark combining district (H), historic area combining district (HD), mixed use combining district overlay (MU), vertical mixed use building (V), or neighborhood plan combining district (NP) may also be added to these zoning base districts. First reading approved on August 19, 2010. Second reading approved on September 23, 2010. Applicant: City of Austin. Agent: Planning and Development Review Department. City Staff: Paul DiGiuseppe, 974-2865. A valid petition has been filed on Tracts 104 and 105 in opposition to the request. | C14-2010-0052 - West Austin Neighborhood Group Planning Area Rezonings - Approve third reading of an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as the West Austin Neighborhood Group Planning Area, generally bounded by West 35th Street to the north, MoPac Expressway to the east, Lady Bird Lake to the south and Lake Austin to the west (Johnson Creek, Lake Austin, Lady Bird Lake, Taylor Slough South, Taylor Slough North Watersheds). The proposed zoning changes will create a Neighborhood Plan Combining District (NPCD) covering the entire area. The proposed zoning changes also implement the land use recommendations of the Central West Austin Combined Neighborhood Plan, NP-2010-0027, on 13 tracts of land (16.18 acres). Under the proposed West Austin Neighborhood Group NPCD, the following design tools are proposed to be applied area-wide: ""parking placement and impervious cover restrictions"" and ""garage placement"". Another option that could be approved by City Council is the ""front porch setback"" design tool. The following special use option is proposed to be applied area-wide: ""small-lot amnesty"". Other special use options that could be approved by City Council on a neighborhood-wide basis include: ""cottage"", ""urban home"", ""secondary apartment"", and ""corner store"". Other special use options that could be approved by City Council on a parcel-specific basis include ""residential infill"", ""neighborhood urban center"", and ""neighborhood mixed-use building"". There is also a proposal to create more restrictions on front and side yard parking, and mobile food vending. The City Council may approve a zoning change to any of the following: rural residence (RR) district zoning; single family residence large lot (SF-1) district zoning; single family residence standard lot (SF-2) district zoning; family residence (SF-3) district zoning; single family residence small lot (SF-4A) district zoning; single family residence condominium site (SF-4B) district zoning; urban family residence (SF-5) district zoning; townhouse & condominium residence (SF-6) district zoning; multifamily residence limited density (MF-1) district zoning; multifamily residence low density (MF-2) district zoning; multifamily residence medium density (MF-3) district zoning; multifamily residence moderate-high density (MF-4) district zoning; multifamily residence high density (MF-5) district zoning; multifamily residence highest density (MF-6) district zoning; neighborhood office (NO) district zoning; limited office (LO) district zoning; general office (GO) district zoning; community recreation (CR) district zoning; neighborhood commercial (LR) district zoning; community commercial (GR) district zoning; warehouse/limited office (W/LO) district zoning; general commercial services (CS) district zoning; commercial-liquor sales (CS-1) district zoning; and public (P) district zoning. A conditional overlay (CO), historic landmark combining district (H), historic area combining district (HD), mixed use combining district overlay (MU), vertical mixed use building (V), or neighborhood plan combining district (NP) may also be added to these zoning base districts. First reading approved on August 19, 2010. Second reading approved on September 23, 2010. Applicant: City of Austin. Agent: Planning and Development Review Department. City Staff: Paul DiGiuseppe, 974-2865. A valid petition has been filed on Tracts 104 and 105 in opposition to the request."
