standardized_tcad_id,lui_land_use,lui_general_land_use,lui_shape_area,latitude,longitude,council_district,nearby_GEOID,zoning_case_GEOID
0100031811,100,100,5878.9453125,,,,,
0100031812,100,100,5900.232421875,,,,,
0100031813,100,100,5857.333984375,,,,,
0100031814,100,100,5899.990234375,,,,,
0100031815,100,100,5880.642578125,,,,,
0100031816,100,100,5995.490234375,,,,,
0100031817,100,100,5815.126953125,,,,,
0100031901,100,100,6810.57421875,,,,,
0100031902,150,100,5610.041015625,,,,,
0100031903,100,100,6129.841796875,,,,,
0100031904,100,100,7064.92578125,,,,,
0100031905,100,100,6314.150390625,,,,,
0100031906,100,100,6339.9609375,,,,,
0100031907,100,100,6406.513671875,,,,,
0100031908,100,100,6401.861328125,,,,,
0100031909,100,100,6421.552734375,,,,,
0100032001,710,700,6059.455078125,,,,,
0100032002,710,700,6079.140625,,,,,
0100032101,710,700,6008.490234375,,,,,
0100032102,710,700,6371.73828125,,,,,
0100032301,100,100,8894.68359375,,,,,
0100032401,100,100,7959.14453125,,,,,
0100032501,100,100,5949.353515625,,,,,
0100032601,100,100,5935.75,,,,,
0100032701,100,100,6243.359375,,,,,
0100032801,300,300,169323.021484375,,,,,
0100050103,100,100,5518.044921875,,,,,
0100050106,100,100,18920.8828125,,,,,
0100050107,100,100,7051.685546875,,,,,
0100050110,100,100,43446.955078125,,,,,
0100050111,400,400,45070.515625,,,,,
0100050118,400,400,5412.251953125,,,,,
0100050120,400,400,20864.373046875,,,,,
0100050121,400,400,8942.931640625,,,,,
0100050122,300,300,9990.001953125,,,,,
0100050123,300,300,31650.576171875,,,,,
0100050124,150,100,12463.85546875,,,,,
0100050126,520,500,6216.85546875,,,,,
0100050127,100,100,6232.75390625,,,,,
0100050128,100,100,10755.0234375,,,,,
0100050129,100,100,6230.55859375,,,,,
0100050130,100,100,5429.541015625,,,,,
0100050131,400,400,11337.041015625,,,,,
0100050132,300,300,3996.1875,,,,,
0100050203,100,100,8224.6640625,,,,,
0100050210,100,100,42390.8671875,,,,,
0100050212,220,200,13637.857421875,,,,,
0100050216,150,100,7490.357421875,,,,,
0100050231,400,400,8803.814453125,,,,,
0100050238,520,500,98585.37890625,,,,,
0100050242,300,300,9985.26171875,,,,,
0100050244,400,400,9874.01171875,,,,,
0100050245,100,100,10238.03515625,,,,,
0100050246,100,100,9972.689453125,,,,,
0100050247,150,100,10082.419921875,,,,,
0100050248,100,100,10267.564453125,,,,,
0100050249,100,100,9981.404296875,,,,,
0100050250,100,100,10046.919921875,,,,,
0100050252,100,100,8611.056640625,,,,,
0100050253,100,100,7806.787109375,,,,,
0100050256,300,300,13538.3984375,,,,,
0100050257,300,300,9250.3828125,,,,,
0100050258,300,300,76749.3828125,,,,,
0100050259,400,400,130681.25,,,,,
0100050260,400,400,190320.681640625,,,,,
0100050264,100,100,7832.484375,,,,,
0100050265,100,100,7967.173828125,,,,,
0100050266,100,100,8363.5078125,,,,,
0100050303,300,300,44787.361328125,,,,,
0100050304,300,300,22027.251953125,,,,,
0100050305,400,400,41534.423828125,,,,,
0100050308,220,200,87617.84765625,,,,,
0100050309,100,100,8739.16796875,,,,,
0100050316,400,400,58546.630859375,,,,,
0100050317,300,300,24427.201171875,,,,,
0100050318,300,300,67616.244140625,,,,,
0100050319,300,300,41799.404296875,,,,,
0100050320,100,100,7863.92578125,,,,,
0100050321,100,100,12333.20703125,,,,,
0100050322,100,100,7904.8359375,,,,,
0100050401,740,700,1803.376953125,,,,,
0100050406,400,400,4960.255859375,,,,,
0100050407,400,400,4986.634765625,,,,,
0100050409,300,300,5031.703125,,,,,
0100050412,400,400,4087.546875,,,,,
0100050413,400,400,4928.32421875,,,,,
0100050414,900,900,5063.76171875,,,,,
0100050415,400,400,10758.978515625,,,,,
0100050416,900,900,33050.5859375,,,,,
0100050417,300,300,8267.251953125,,,,,
0100050419,300,300,5896.517578125,,,,,
0100050420,300,300,14542.84765625,,,,,
0100050421,300,300,11628,,,,,
0100050422,300,300,21732.8984375,,,,,
0100050423,400,400,14525.591796875,,,,,
0100050501,300,300,16609.30859375,,,,,
0100050702,220,200,22172.126953125,,,,,
0100050703,300,300,20110.517578125,,,,,
0100050704,300,300,11232.6796875,,,,,
0100050707,630,600,21230.693359375,,,,,
0100050713,630,600,77087.94921875,,,,,
0100050715,210,200,21984.8515625,,,,,
0100050801,400,400,20805.560546875,,,,,
0100050901,100,100,9251.404296875,,,,,
0100051001,220,200,31509.9375,,,,,
0100051101,220,200,47835.080078125,,,,,
0100051201,400,400,9424.619140625,,,,,
0100051301,150,100,14502.021484375,,,,,
0100051401,150,100,9220.166015625,,,,,
0100051501,150,100,9606.966796875,,,,,
0100051601,220,200,27701.134765625,,,,,
0100051701,100,100,9142.029296875,,,,,
0100060104,220,200,40414.826171875,,,,,
0100060107,100,100,7222.263671875,,,,,
0100060108,100,100,5657.140625,,,,,
0100060110,100,100,6910.921875,,,,,
0100060111,100,100,6693.37109375,,,,,
0100060112,100,100,6814.54296875,,,,,
0100060113,100,100,7129.71484375,,,,,
0100060114,100,100,6934.0703125,,,,,
0100060115,100,100,6740.29296875,,,,,
0100060116,100,100,9283.666015625,,,,,
0100060117,100,100,9797.83984375,,,,,
0100060120,100,100,17993.2734375,,,,,
0100060123,100,100,16952.30078125,,,,,
0100060124,100,100,21283.78515625,,,,,
0100060125,100,100,14945.134765625,,,,,
0100060129,150,100,8911.935546875,,,,,
0100060131,220,200,21335.330078125,,,,,
0100060136,100,100,10759.982421875,,,,,
0100060150,100,100,9818.18359375,,,,,
0100060202,150,100,14648.1875,,,,,
0100060205,100,100,6518.060546875,,,,,
0100060207,100,100,12377.13671875,,,,,
0100060209,100,100,10950.7265625,,,,,
0100060210,100,100,10902.6015625,,,,,
0100060211,100,100,12568.25,,,,,
0100060213,100,100,8492.712890625,,,,,
0100060214,100,100,7812.955078125,,,,,
0100060215,100,100,5647.859375,,,,,
0100060216,100,100,6436.1953125,,,,,
0100060217,100,100,9032.52734375,,,,,
0100060219,100,100,7625.779296875,,,,,
0100060221,100,100,10588.556640625,,,,,
0100060222,100,100,7547.041015625,,,,,
0100060226,100,100,7064.55859375,,,,,
0100060228,150,100,16587.763671875,,,,,
0100060231,100,100,5171.14453125,,,,,
0100060232,100,100,6398.072265625,,,,,
0100060233,100,100,8571.73828125,,,,,
0100060234,150,100,7760.18359375,,,,,
0100060235,150,100,10757.521484375,,,,,
0100060236,100,100,15009.51953125,,,,,
0100060237,220,200,60227.314453125,,,,,
0100060238,100,100,8574.068359375,,,,,
0100060239,100,100,5552.875,,,,,
0100060303,210,200,7589.15625,,,,,
0100060304,210,200,8339.41796875,,,,,
0100060305,210,200,6887.9609375,,,,,
0100060306,210,200,8605.841796875,,,,,
0100060307,100,100,7680.87890625,,,,,
0100060308,100,100,7455.515625,,,,,
0100060309,150,100,7820.125,,,,,
0100060310,100,100,7512.1640625,,,,,
0100060311,100,100,7629.408203125,,,,,
0100060312,100,100,8031.51953125,,,,,
0100060313,100,100,9385.72265625,,,,,
0100060316,100,100,11648.00390625,,,,,
0100060317,150,100,10725.798828125,,,,,
0100060318,100,100,13112.392578125,,,,,
0100060320,400,400,2751.06640625,,,,,
0100060321,300,300,14640.615234375,,,,,
0100060328,150,100,7014.603515625,,,,,
0100060329,150,100,7689.82421875,,,,,
0100060332,150,100,6816.087890625,,,,,
0100060338,100,100,7825.947265625,,,,,
0100060339,150,100,6500.33203125,,,,,
0100060340,150,100,7898.421875,,,,,
0100060402,100,100,7076.728515625,,,,,
0100060403,100,100,7627.3125,,,,,
0100060404,100,100,7339.24609375,,,,,
0100060405,100,100,7439.98828125,,,,,
0100060406,100,100,7587.70703125,,,,,
0100060407,100,100,7392.56640625,,,,,
0100060408,100,100,7509.12890625,,,,,
0100060409,100,100,7047.048828125,,,,,
0100060410,100,100,6227.3046875,,,,,
0100060411,100,100,6116.232421875,,,,,
0100060412,100,100,5835.45703125,,,,,
0100060413,100,100,6568.12890625,,,,,
0100060414,100,100,6252.798828125,,,,,
0100060415,100,100,6174.296875,,,,,
0100060416,100,100,6074.78125,,,,,
0100060417,100,100,6130.5,,,,,
0100060418,100,100,6914.068359375,,,,,
0100060419,100,100,7419.216796875,,,,,
0100060420,100,100,7676.19921875,,,,,
0100060421,100,100,7456.349609375,,,,,
0100060422,100,100,7530.712890625,,,,,
0100060423,100,100,7412.376953125,,,,,
0100060424,100,100,7525.05859375,,,,,
0100060425,100,100,7227.74609375,,,,,
0100060426,100,100,7599.314453125,,,,,
0100060427,100,100,7048.515625,,,,,
0100060428,150,100,8726.140625,,,,,
0100060502,100,100,5581.162109375,,,,,
0100060503,100,100,6347.25390625,,,,,
0100060504,100,100,6729.259765625,,,,,
0100060505,100,100,5268.8828125,,,,,
0100060602,100,100,6322.64453125,,,,,
0100060603,100,100,6330.7421875,,,,,
0100060604,100,100,6298.640625,,,,,
0100060605,100,100,6433.69140625,,,,,
0100060606,100,100,7682.439453125,,,,,
0100060607,100,100,6716.6875,,,,,
0100060608,100,100,6289.04296875,,,,,
0100060609,100,100,9081.408203125,,,,,
0100060611,100,100,9280.259765625,,,,,
0100060613,100,100,6140.501953125,,,,,
0100060614,100,100,9164.576171875,,,,,
0100060615,100,100,11602.208984375,,,,,
0100060616,100,100,10706.591796875,,,,,
0100060617,100,100,9682.1171875,,,,,
0100060618,100,100,6193.44921875,,,,,
0100060619,100,100,6158.306640625,,,,,
0100060701,100,100,5664.806640625,,,,,
0100060702,100,100,5197.1484375,,,,,
0100060703,100,100,5081.94921875,,,,,
0100060704,100,100,4792.587890625,,,,,
0100060705,100,100,4097.541015625,,,,,
0100060706,100,100,4468.771484375,,,,,
0100060707,100,100,7018.86328125,,,,,
0100060708,100,100,9908.765625,,,,,
0100060709,100,100,6472.80078125,,,,,
0100060710,100,100,9659.91796875,,,,,
0100060711,100,100,6387.138671875,,,,,
0100060712,100,100,6358.830078125,,,,,
0100060713,100,100,5956.984375,,,,,
0100060714,100,100,9149.380859375,,,,,
0100060715,100,100,6171.138671875,,,,,
0100060716,150,100,7638.517578125,,,,,
0100060717,100,100,7199.828125,,,,,
0100060718,100,100,6984.48828125,,,,,
0100060720,100,100,6319.755859375,,,,,
0100060801,100,100,5950.6484375,,,,,
0100060802,100,100,6456.037109375,,,,,
0100060803,100,100,6347.767578125,,,,,
0100060804,100,100,6368.779296875,,,,,
0100060805,100,100,6178.681640625,,,,,
0100060806,100,100,5274.05859375,,,,,
0100060807,100,100,6307.822265625,,,,,
0100060808,100,100,7769.220703125,,,,,
0100060809,100,100,5719.626953125,,,,,
0100060810,100,100,5420.001953125,,,,,
0100060811,100,100,6197.640625,,,,,
0100060812,100,100,6250.1328125,,,,,
0100060813,100,100,6355.6640625,,,,,
0100060814,100,100,6614.83984375,,,,,
0100060815,100,100,4974.740234375,,,,,
0100060816,100,100,6353.142578125,,,,,
0100060817,100,100,7111.615234375,,,,,
0100060818,100,100,7277.380859375,,,,,
0100060819,100,100,7305.234375,,,,,
0100060820,100,100,7272.880859375,,,,,
0100060821,100,100,7310.427734375,,,,,
0100060822,100,100,7194.634765625,,,,,
0100060823,100,100,8774.087890625,,,,,
0100060825,100,100,8620.603515625,,,,,
0100060826,100,100,8629.3125,,,,,
0100060827,100,100,8050.080078125,,,,,
0100060828,100,100,7974.6953125,,,,,
0100060901,100,100,6452.064453125,,,,,
0100060903,100,100,6316.26953125,,,,,
0100060904,100,100,6315.912109375,,,,,
0100060905,100,100,6315.634765625,,,,,
0100060906,100,100,6315.517578125,,,,,
0100060907,100,100,7074.166015625,,,,,
0100060908,100,100,6315.80859375,,,,,
0100060909,100,100,6574.189453125,,,,,
0100060910,100,100,5719.015625,,,,,
0100060911,100,100,5800.03125,,,,,
0100060913,100,100,5112.572265625,,,,,
0100060914,100,100,5758.59765625,,,,,
0100060915,100,100,6446.02734375,,,,,
0100060916,100,100,6296.615234375,,,,,
0100060917,100,100,6294.30859375,,,,,
0100060918,100,100,6302.759765625,,,,,
0100060919,100,100,6305.396484375,,,,,
0100060920,100,100,6308,,,,,
0100060921,100,100,6219.390625,,,,,
0100060922,100,100,6313.189453125,,,,,
0100060923,100,100,6315.837890625,,,,,
0100060924,100,100,6318.541015625,,,,,
0100060925,100,100,6321.11328125,,,,,
0100060926,100,100,6323.71875,,,,,
0100060927,100,100,6326.349609375,,,,,
0100060928,100,100,6287.35546875,,,,,
0100060929,100,100,6398.220703125,,,,,
0100060930,100,100,5717.302734375,,,,,
0100060931,100,100,5725.53125,,,,,
0100061001,100,100,9194.67578125,,,,,
0100061002,150,100,8289.7734375,,,,,
0100061003,150,100,9176.03125,,,,,
0100061005,100,100,8722.21484375,,,,,
0100061007,100,100,18143.23828125,,,,,
0100061008,100,100,11180.025390625,,,,,
0100061009,100,100,9613.77734375,,,,,
0100061010,100,100,9074.966796875,,,,,
0100061012,100,100,9600.076171875,,,,,
0100061013,150,100,9780.07421875,,,,,
0100061014,100,100,12194.775390625,,,,,
0100061016,150,100,9366.494140625,,,,,
0100061017,150,100,9642.451171875,,,,,
0100061024,100,100,7187.943359375,,,,,
0100061030,100,100,6633.869140625,,,,,
0100061047,100,100,6872.34765625,,,,,
0100061048,100,100,6904.837890625,,,,,
0100061054,240,200,6900.890625,,,,,
0100061055,240,200,6843.78515625,,,,,
0100061056,240,200,6839.171875,,,,,
0100061057,240,200,6841.421875,,,,,
0100061101,100,100,7782.419921875,,,,,
0100061102,100,100,7620.388671875,,,,,
0100061103,100,100,6981.087890625,,,,,
0100061104,100,100,7577.458984375,,,,,
0100061105,100,100,6863.109375,,,,,
0100061106,100,100,7241.638671875,,,,,
0100061107,100,100,7045.810546875,,,,,
0100061108,100,100,8085.96484375,,,,,
0100061109,100,100,5783.59375,,,,,
0100061110,100,100,6057.830078125,,,,,
0100061111,100,100,5787.1484375,,,,,
0100061112,100,100,6772.865234375,,,,,
0100061201,100,100,6828.369140625,,,,,
0100061202,100,100,6296.607421875,,,,,
0100061203,100,100,7705.142578125,,,,,
0100061205,100,100,6523.587890625,,,,,
0100061208,100,100,6291.97265625,,,,,
0100061210,100,100,9498.98046875,,,,,
0100061301,100,100,5785.298828125,,,,,
0100061302,100,100,6208.294921875,,,,,
0100061303,100,100,6277.0546875,,,,,
0100061304,100,100,9411.181640625,,,,,
0100061305,100,100,9868.646484375,,,,,
0100061308,100,100,9439.408203125,,,,,
0100061310,100,100,6697.173828125,,,,,
0100061311,100,100,6299.162109375,,,,,
0100061312,100,100,6270.337890625,,,,,
0100061313,100,100,6319.66796875,,,,,
0100061314,100,100,6263.90234375,,,,,
0100061315,100,100,5783.9296875,,,,,
0100061402,100,100,6845.607421875,,,,,
0100061403,100,100,6701.5625,,,,,
0100061404,100,100,6742.107421875,,,,,
0100061405,100,100,6667.734375,,,,,
0100061406,100,100,6765.240234375,,,,,
0100061407,100,100,6783.958984375,,,,,
0100061408,100,100,6667.296875,,,,,
0100061409,100,100,6829.3515625,,,,,
0100061410,100,100,6731.65234375,,,,,
0100061411,100,100,6791.58984375,,,,,
0100061412,100,100,5872.521484375,,,,,
0100061414,100,100,9974.83203125,,,,,
0100061501,150,100,8115.880859375,,,,,
0100061601,150,100,7339.892578125,,,,,
0100061701,220,200,32048.716796875,,,,,
0100061801,100,100,25524.87890625,,,,,
0100062001,100,100,7993.17578125,,,,,
0100062101,100,100,9326.634765625,,,,,
0100062201,100,100,9678.798828125,,,,,
0100062301,100,100,8647.041015625,,,,,
0100062401,100,100,117019.57421875,,,,,
0100062501,150,100,10288.240234375,,,,,
0100062601,150,100,7576.8671875,,,,,
0100062701,100,100,17638.126953125,,,,,
0100062801,100,100,11084.70703125,,,,,
0100062901,100,100,31453.751953125,,,,,
0100063001,150,100,8141.875,,,,,
0100063101,100,100,8757.6953125,,,,,
0100063201,100,100,11264.603515625,,,,,
0100063301,100,100,8190.36328125,,,,,
0100063401,150,100,7763.29296875,,,,,
0100063501,100,100,7594.96875,,,,,
0100063601,150,100,7587.263671875,,,,,
0100063701,150,100,7469.99609375,,,,,
0100063801,150,100,7572.58203125,,,,,
0100063901,150,100,8895.185546875,,,,,
0100064001,150,100,7441.0234375,,,,,
0100064101,100,100,7434.6796875,,,,,
0100064201,100,100,7453.65234375,,,,,
0100064301,150,100,7437.1640625,,,,,
0100064401,150,100,16071.119140625,,,,,
0100064501,150,100,7949.017578125,,,,,
0100080101,100,100,10633.873046875,,,,,
0100080102,100,100,8211.298828125,,,,,
0100080103,100,100,7904.974609375,,,,,
0100080301,100,100,7502.0234375,,,,,
0100080302,100,100,7170.671875,,,,,
0100080303,100,100,7103.4921875,,,,,
0100080304,100,100,6959.48828125,,,,,
0100080305,100,100,6978.333984375,,,,,
0100080306,100,100,6992.439453125,,,,,
0100080307,100,100,7103.052734375,,,,,
0100080308,100,100,7487.953125,,,,,
0100080401,100,100,6445.669921875,,,,,
0100080402,100,100,6884.287109375,,,,,
0100080403,150,100,7047.189453125,,,,,
0100080404,100,100,7012.2265625,,,,,
0100080405,100,100,7053.08984375,,,,,
0100080406,100,100,7141.703125,,,,,
0100080407,100,100,6967.171875,,,,,
0100080408,150,100,6853.708984375,,,,,
0100080505,100,100,7263.4921875,,,,,
0100080506,100,100,7615.61328125,,,,,
0100080507,100,100,7072.685546875,,,,,
0100080508,100,100,9361.423828125,,,,,
0100080509,100,100,11962.787109375,,,,,
0100080510,100,100,11206.98828125,,,,,
0100080516,100,100,11801.05859375,,,,,
0100080517,100,100,12647.642578125,,,,,
0100080518,100,100,12196.302734375,,,,,
0100080519,100,100,11964.728515625,,,,,
0100080520,100,100,12879.708984375,,,,,
0100080521,100,100,12942.740234375,,,,,
0100080524,100,100,9557.59375,,,,,
0100080525,100,100,8913.177734375,,,,,
0100080526,100,100,9258.908203125,,,,,
0100080527,100,100,9304.822265625,,,,,
0100080528,100,100,8740.345703125,,,,,
0100080529,100,100,8501.80859375,,,,,
0100080530,100,100,8128.91796875,,,,,
0100080531,150,100,8206.8671875,,,,,
0100080532,100,100,11055.986328125,,,,,
0100080533,150,100,8286.7421875,,,,,
0100080534,150,100,10328.689453125,,,,,
0100080535,150,100,9204.048828125,,,,,
0100080536,100,100,9507.5859375,,,,,
0100080537,150,100,9369.275390625,,,,,
0100080538,150,100,9357.7109375,,,,,
0100080539,100,100,9357.1015625,,,,,
0100080540,100,100,9324.302734375,,,,,
0100080541,150,100,10765.3515625,,,,,
0100080542,150,100,12368.9765625,,,,,
0100080543,150,100,8682.73046875,,,,,
0100080601,100,100,6425.431640625,,,,,
0100080602,100,100,6443.9296875,,,,,
0100080603,100,100,6458.41015625,,,,,
0100080604,100,100,6477.72265625,,,,,
0100080605,100,100,6491.81640625,,,,,
0100080606,100,100,6496.51171875,,,,,
0100080607,100,100,8161.8359375,,,,,
0100080608,100,100,5109.07421875,,,,,
0100080609,100,100,5952.48046875,,,,,
0100080610,100,100,7470.888671875,,,,,
0100080611,100,100,6822.11328125,,,,,
0100080612,100,100,6895.830078125,,,,,
0100080701,100,100,6653.107421875,,,,,
0100080702,100,100,6464.72265625,,,,,
0100080703,100,100,6393.42578125,,,,,
0100080704,100,100,6394.552734375,,,,,
0100080705,100,100,6389.42578125,,,,,
0100080707,100,100,6140.83984375,,,,,
0100080708,100,100,6466.3203125,,,,,
0100080709,100,100,6293.26171875,,,,,
0100080710,100,100,6260.513671875,,,,,
0100080711,100,100,6291.767578125,,,,,
0100080712,100,100,6324.072265625,,,,,
0100080801,100,100,6939.1875,,,,,
0100080802,100,100,6672.14453125,,,,,
0100080803,100,100,6622.1875,,,,,
0100080804,100,100,6666.56640625,,,,,
0100080805,100,100,6588.9921875,,,,,
0100080806,100,100,6584.615234375,,,,,
0100080807,100,100,6555.416015625,,,,,
0100080808,150,100,6683.5390625,,,,,
0100080809,100,100,5783.013671875,,,,,
0100080810,100,100,5573.64453125,,,,,
0100080811,100,100,6032.302734375,,,,,
0100080812,100,100,5962.6875,,,,,
0100080813,100,100,6052.900390625,,,,,
0100080814,100,100,6735.490234375,,,,,
0100080815,100,100,6989.701171875,,,,,
0100080902,150,100,6021.443359375,,,,,
