case_number,year,total_parcels,signers,signer_pct
C14-2013-0022,2013.0,20,13,65.0
C14-2013-0031,2013.0,21,8,38.1
C14-2013-0034,2013.0,12,4,33.3
C14-2013-0040,2013.0,44,25,56.8
C14-2013-0053,2013.0,57,18,31.6
C14-2013-0060,2013.0,33,13,39.4
C14-2013-0087,2013.0,11,2,18.2
C14-2013-0095,2013.0,12,6,50.0
C14-2013-0096,2013.0,10,8,80.0
C14-2013-0097,2013.0,12,7,58.3
C14-2013-0098,2013.0,11,10,90.9
C14-2013-0104,2013.0,22,9,40.9
C14-2013-0107,2013.0,49,3,6.1
C14-2013-0126,2013.0,118,0,0.0
C14-2013-0158,2013.0,24,4,16.7
C14-2014-0015,2014.0,30,5,16.7
C14-2014-0031,2014.0,22,10,45.5
C14-2014-0036,2014.0,26,12,46.2
C14-2014-0047,2014.0,12,5,41.7
C14-2014-0070,2014.0,15,1,6.7
C14-2014-0123,2014.0,42,0,0.0
C14-2014-0127,2014.0,45,7,15.6
C14-2014-0159,2014.0,13,2,15.4
C14-2014-0178,2014.0,12,2,16.7
C14-2014-0193,2014.0,14,3,21.4
C14-2014-0194,2014.0,17,5,29.4
C14-2015-0001,2015.0,14,2,14.3
C14-2015-0003,2015.0,36,19,52.8
C14-2015-0019,2015.0,33,5,15.2
C14-2015-0025,2015.0,18,5,27.8
C14-2015-0043,2015.0,11,2,18.2
C14-2015-0047,2015.0,26,8,30.8
C14-2015-0050,2015.0,19,0,0.0
C14-2015-0086,2015.0,27,9,33.3
C14-2015-0093,2015.0,18,2,11.1
C14-2015-0094,2015.0,18,2,11.1
C14-2015-0104,2015.0,19,0,0.0
C14-2015-0105,2015.0,12,1,8.3
C14-2015-0106,2015.0,9,1,11.1
C14-2015-0119,2015.0,40,16,40.0
C14-2015-0160,2015.0,16,7,43.8
C14-2016-0023,2016.0,22,17,77.3
C14-2016-0025,2016.0,85,43,50.6
C14-2016-0039,2016.0,17,0,0.0
C14-2016-0063,2016.0,32,20,62.5
C14-2016-0064,2016.0,17,1,5.9
C14-2016-0077,2016.0,38,11,28.9
C14-2016-0079,2016.0,27,0,0.0
C14-2016-0096,2016.0,11,5,45.5
C14-2016-0125,2016.0,38,1,2.6
C14-2017-0052,2017.0,12,3,25.0
C14-2017-0074,2017.0,14,1,7.1
C14-2017-0092,2017.0,96,30,31.2
C14-2017-0094,2017.0,7,0,0.0
C14-2017-0098,2017.0,15,2,13.3
C14-2017-0123,2017.0,9,4,44.4
C14-2018-0002,2018.0,18,10,55.6
C14-2018-0077,2018.0,96,16,16.7
C14-2018-0093,2018.0,50,20,40.0
C14-2018-0096,2018.0,62,20,32.3
C14-2018-0100,2018.0,138,36,26.1
C14-2018-0124,2018.0,44,22,50.0
C14-2018-0140,2018.0,42,22,52.4
C14-2018-0141,2018.0,32,14,43.8
C14-2018-0149,2018.0,40,0,0.0
C14-2018-0150,2018.0,28,10,35.7
C14-2019-0007,2019.0,36,5,13.9
C14-2019-0011,2019.0,6,1,16.7
C14-2019-0026,2019.0,20,7,35.0
C14-2019-0027,2019.0,2,2,100.0
C14-2019-0049,2019.0,11,1,9.1
C14-2019-0053,2019.0,18,4,22.2
C14-2019-0054,2019.0,19,7,36.8
C14-2019-0078,2019.0,31,15,48.4
C14-2019-0090,2019.0,10,0,0.0
C14-2019-0098,2019.0,27,4,14.8
C14-2019-0103,2019.0,11,0,0.0
C14-2019-0164,2019.0,19,1,5.3
C14-2020-0022,2020.0,134,0,0.0
C14-2020-0023,2020.0,44,6,13.6
C14-2020-0029,2020.0,50,14,28.0
C14-2020-0030,2020.0,36,12,33.3
C14-2020-0031,2020.0,54,0,0.0
C14-2020-0038,2020.0,42,12,28.6
C14-2020-0039,2020.0,64,24,37.5
C14-2020-0044,2020.0,94,16,17.0
C14-2020-0048,2020.0,32,0,0.0
C14-2020-0067,2020.0,22,12,54.5
C14-2020-0075,2020.0,36,16,44.4
C14-2020-0081,2020.0,16,4,25.0
C14-2020-0089,2020.0,92,0,0.0
C14-2020-0102,2020.0,26,16,61.5
C14-2020-0112,2020.0,26,6,23.1
C14-2020-0121,2020.0,56,14,25.0
C14-2020-0143,2020.0,86,0,0.0
C14-2020-0146,2020.0,12,2,16.7
C14-2020-0147,2020.0,82,20,24.4
C14-2020-0151,2020.0,204,0,0.0
C14-2021-0007,2021.0,38,25,65.8
C14-2021-0008,2021.0,16,7,43.8
C14-2021-0009,2021.0,9,3,33.3
C14-2021-0015,2021.0,46,0,0.0
C14-2021-0017,2021.0,7,1,14.3
C14-2021-0023,2021.0,9,0,0.0
C14-2021-0033,2021.0,480,24,5.0
C14-2021-0037,2021.0,811,62,7.6
C14-2021-0039,2021.0,26,9,34.6
C14-2021-0050,2021.0,15,0,0.0
C14-2021-0055,2021.0,15,2,13.3
C14-2021-0056,2021.0,16,0,0.0
C14-2021-0081,2021.0,23,0,0.0
C14-2021-0082,2021.0,4,0,0.0
C14-2021-0100,2021.0,3,0,0.0
C14-2021-0117,2021.0,8,0,0.0
C14-2021-0119,2021.0,34,0,0.0
C14-2021-0123,2021.0,102,0,0.0
C14-2021-0125,2021.0,20,0,0.0
C14-2021-0127,2021.0,9,5,55.6
C14-2021-0128,2021.0,16,2,12.5
C14-2021-0130,2021.0,24,2,8.3
C14-2021-0136,2021.0,16,0,0.0
C14-2021-0137,2021.0,23,0,0.0
C14-2021-0139,2021.0,16,6,37.5
C14-2021-0141,2021.0,39,4,10.3
C14-2021-0150,2021.0,17,0,0.0
C14-2021-0161,2021.0,17,0,0.0
C14-2021-0183,2021.0,19,14,73.7
C14-2021-0193,2021.0,29,0,0.0
C14-2022-0004,2022.0,9,0,0.0
C14-2022-0008,2022.0,31,4,12.9
C14-2022-0010,2022.0,20,0,0.0
C14-2022-0018,2022.0,23,3,13.0
C14-2022-0033,2022.0,6,0,0.0
C14-2022-0047,2022.0,40,0,0.0
C14-2022-0056,2022.0,11,0,0.0
C14-2022-0067,2022.0,24,0,0.0
C14-2022-0076,2022.0,16,7,43.8
C14-2022-0077,2022.0,29,0,0.0
C14-2022-0084,2022.0,19,0,0.0
C14-2022-0114,2022.0,12,2,16.7
C14-2022-0133,2022.0,29,14,48.3
C14-2022-0150,2022.0,25,7,28.0
C14-2023-0004,2023.0,13,1,7.7
C14-2023-0006,2023.0,14,5,35.7
C14-2023-0007,2023.0,27,12,44.4
C14-2023-0014,2023.0,17,1,5.9
C14-2023-0032,2023.0,11,3,27.3
C14-2023-0034,2023.0,24,1,4.2
C14-2023-0035,2023.0,13,1,7.7
C14-2023-0077,2023.0,29,13,44.8
C14-2023-0083,2023.0,12,1,8.3
C14-2023-0114,2023.0,9,0,0.0
C14-2023-0119,2023.0,48,0,0.0
C14-2023-0126,2023.0,13,0,0.0
C14-2023-0141,2023.0,39,0,0.0
C14-2023-0153,2023.0,21,5,23.8
C14-2023-0154,2023.0,7,9,55.64719968072369
C14-2024-0019,2024.0,44,0,0.0
C14-2024-0051,2024.0,49,13,26.5
C14-2024-0059,2024.0,25,9,36.0
C14-2024-0070,2024.0,25,0,0.0
C14-2024-0071,2024.0,47,0,0.0
C14-2024-0080,2024.0,32,0,0.0
C14-2024-0104,2024.0,50,9,18.0
C14-2024-0109,2024.0,33,3,9.1
C14-2024-0122,2024.0,23,12,52.2
C14-99-0069.01,,8,0,0.0
C14H-2010-0006,2010.0,100,63,63.0
C14H-2010-0019,2010.0,16,51,13.557628247834774
C14H-2014-0014,2014.0,110,47,42.7
C14H-2015-0006,2015.0,1,1,100.0
C14H-2018-0013,2018.0,684,116,17.0
C14H-2018-0084,2018.0,36,8,22.2
C14H-2019-0077,2019.0,260,1,0.4
C14H-2021-0164,2021.0,16,1,7.384169884169883
C8-2010-0047.0A,2010.0,7,7,100.0
C814-01-0038.03,2024.0,11,0,0.0
C814-2008-0016,2008.0,18,18,100.0
C814-2009-0099,2009.0,59,59,100.0
C814-2014-0120,2014.0,28,11,39.3
C814-2015-0074,2015.0,125,52,41.6
C814-2018-0121,2018.0,16,0,0.0
C814-2022-0095,2022.0,17,3,17.6
C814-82-006.02,,16,0,0.0
C814-96-0003.07,2008.0,15,15,100.0
