position,field_id,field_name,data_type,description,leakage_risk,leakage_justification
51,AJR052,exemption_amount_solar_wind,numeric,Solar/wind energy exemption,SAFE,Energy incentive exemption
52,AJR053,exemption_amount_ch313,numeric,Chapter 313 (TEDA) agreement exemption,SAFE,"Tax abatement, pre-determined"
53,AJR054,exemption_amount_other1,numeric,Other exemption amount 1,SAFE,Miscellaneous exemption
54,AJR055,exemption_amount_other2,numeric,Other exemption amount 2,SAFE,Miscellaneous exemption
55,AJR056,exemption_amount_other3,numeric,Other exemption amount 3,SAFE,Miscellaneous exemption
56,AJR057,exemption_amount_other4,numeric,Other exemption amount 4,SAFE,Miscellaneous exemption
57,AJR058,exemption_amount_other5,numeric,Other exemption amount 5,SAFE,Miscellaneous exemption
58,AJR059,exemption_amount_other6,numeric,Other exemption amount 6,SAFE,Miscellaneous exemption
59,AJR060,exemption_amount_other7,numeric,Other exemption amount 7,SAFE,Miscellaneous exemption
60,AJR061,exemption_amount_other8,numeric,Other exemption amount 8,SAFE,Miscellaneous exemption
61,AJR062,exemption_amount_other9,numeric,Other exemption amount 9,SAFE,Miscellaneous exemption
62,AJR063,exemption_amount_other10,numeric,Other exemption amount 10,SAFE,Miscellaneous exemption
63,AJR064,exemption_amount_other11,numeric,Other exemption amount 11,SAFE,Miscellaneous exemption
64,AJR065,exemption_amount_other12,numeric,Other exemption amount 12,SAFE,Miscellaneous exemption
65,AJR066,total_exemption_amount,numeric,Total of all exemption amounts,SAFE,"Sum of exemptions, pre-determined"
66,AJR067,net_taxable_value,numeric,Net taxable value (appraised - exemptions),SAFE,"Derived value, before protests"
67,AJR068,freeze_flag,text,Tax ceiling/freeze flag (Y/N),SAFE,"Over-65/disabled freeze, pre-determined"
68,AJR069,freeze_flag_2,text,Second freeze flag,SAFE,Pre-determined
69,AJR070,ch313_flag,text,Chapter 313 agreement flag (Y/N) (new in 2019),SAFE,"Tax abatement flag, pre-determined"
70,AJR071,abatement_flag,text,Tax abatement agreement flag,SAFE,Pre-determined designation
71,AJR072,partial_exemption_flag,text,Partial exemption flag (Y/N),SAFE,Pre-determined exemption status
72,AJR073,partial_exemption_flag_2,text,Second partial exemption flag,SAFE,Pre-determined
73,AJR074,land_use_code,text,Land use code,SAFE,"Current land use, rarely changes organically"
74,AJR075,zoning_code,text,Zoning designation code,CAUTION,Zoning changes may be related to protests; use lagged
75,AJR076,school_district_flag,text,School district association flag (Y/N),SAFE,"Geographic, pre-determined"
76,AJR077,ceiling_value,numeric,Tax ceiling value (for frozen accounts),SAFE,Pre-determined for eligible accounts
77,AJR078,arb_protest_flag,text,ARB (Appraisal Review Board) protest flag (Y/N),EXCLUDE,DIRECT OUTCOME LEAKAGE: indicates whether property protested its appraisal
78,AJR079,arb_protest_result,text,ARB protest hearing result/status,EXCLUDE,DIRECT OUTCOME LEAKAGE: encodes protest outcome
79,AJR080,appraisal_district_id_2,text,Secondary appraisal district identifier,SAFE,Administrative identifier
80,AJR081,prior_year_taxable_value,numeric,Prior year taxable value,SAFE,"Lagged value, safe as prior-year covariate"
81,AJR082,new_construction_value,numeric,Value of new construction / improvements added,CAUTION,New construction may trigger or be triggered by zoning changes
82,AJR083,supplemental_record_count,numeric,Number of supplemental records for account,SAFE,Administrative count
83,AJR084,record_sequence_number,numeric,Sequence number within file,N/A,"Metadata, not a variable"
