CASE_NUMBER,gross_site_area_acres,council_district,acreage,frontage,corner_lot_flag
C14-2016-0079,0.0,3.0,0.0,0.0,1
C14-2016-0079,0.0,3.0,0.0,0.0,0
C14-2016-0079,0.0,3.0,0.0,0.0,0
C14-2016-0079,0.0,3.0,0.0,0.0,0
C14-2016-0079,0.0,3.0,0.0,0.0,1
C14-2016-0079,0.0,3.0,0.0,0.0,0
C14-2016-0079,0.0,3.0,0.0,0.0,0
C14-2014-0031.SH,8.948,10.0,8.948,447.40000000000003,1
C14-2020-0031.SH,0.0,1.0,0.0,0.0,0
C14-2018-0077,0.0,1.0,0.0,0.0,0
C14-2018-0077,0.0,1.0,0.0,0.0,0
C14-2018-0077,0.0,1.0,0.0,0.0,0
C14-2018-0077,0.0,1.0,0.0,0.0,0
C14-2008-0057.SH,0.0,4.0,0.0,0.0,0
C14-2010-0199,1.58,2.0,1.58,79.0,0
C14-2010-0199,1.58,2.0,1.58,79.0,0
C14-2010-0199,1.58,2.0,1.58,79.0,0
C14-2010-0199,1.58,2.0,1.58,79.0,1
C14-2016-0077,0.0,9.0,0.0,0.0,0
C14-2016-0077,0.0,9.0,0.0,0.0,0
C14-2016-0077,0.0,9.0,0.0,0.0,1
C14-2016-0077,0.0,9.0,0.0,0.0,0
C14-2016-0077,0.0,9.0,0.0,0.0,0
C14-2016-0077,0.0,9.0,0.0,0.0,1
C14-2016-0077,0.0,9.0,0.0,0.0,0
C14-2016-0077,0.0,9.0,0.0,0.0,1
C14-2021-0015,0.0,3.0,0.0,0.0,0
C14-99-0069,0.0,9.0,0.0,0.0,0
C14-2008-0184,0.3059,10.0,0.3059,15.295,0
C14-2020-0112,0.0,9.0,0.0,0.0,0
C14-2008-0223,0.08,9.0,0.08,4.0,1
C14-2017-0074,0.0,9.0,0.0,0.0,1
C14-2017-0074,0.0,9.0,0.0,0.0,0
C14-2017-0074,0.0,9.0,0.0,0.0,1
C14-2017-0074,0.0,9.0,0.0,0.0,1
C14-2017-0074,0.0,9.0,0.0,0.0,1
C14-2017-0074,0.0,9.0,0.0,0.0,0
C14-2020-0039,0.0,3.0,0.0,0.0,0
C14-2016-0023.SH,0.0,7.0,0.0,0.0,0
C14-2023-0004,0.0,5.0,0.0,0.0,0
C14-2012-0097,0.1,7.0,0.1,5.0,0
C14-2012-0097,0.1,7.0,0.1,5.0,0
C14-2012-0097,0.1,7.0,0.1,5.0,0
C14-2012-0097,0.1,7.0,0.1,5.0,1
C14-2012-0097,0.1,7.0,0.1,5.0,1
C14-2012-0097,0.1,7.0,0.1,5.0,0
C14-2012-0020,6.399,0.0,6.399,319.95,0
C14-2017-0092,0.0,1.0,0.0,0.0,0
C14-2017-0092,0.0,1.0,0.0,0.0,1
C14-2021-0137,0.0,10.0,0.0,0.0,1
C14-2018-0140,0.0,4.0,0.0,0.0,0
C14-2018-0140,0.0,4.0,0.0,0.0,0
C14-2015-0119,0.0,9.0,0.0,0.0,0
C14-2015-0119,0.0,9.0,0.0,0.0,0
C14-2015-0119,0.0,9.0,0.0,0.0,1
C14-2015-0119,0.0,9.0,0.0,0.0,1
C14-2015-0119,0.0,9.0,0.0,0.0,0
C14-2015-0119,0.0,9.0,0.0,0.0,1
C14-2007-0131,0.746,1.0,0.746,37.3,1
C14-2022-0056,0.0,5.0,0.0,0.0,1
C14-2009-0028,0.165,3.0,0.165,8.25,0
C14-2015-0160,45.35,10.0,45.35,2267.5,0
C14-2015-0160,45.35,10.0,45.35,2267.5,0
C14-2015-0160,45.35,10.0,45.35,2267.5,0
C14-2015-0160,45.35,10.0,45.35,2267.5,1
C14-2015-0160,45.35,10.0,45.35,2267.5,0
C14-2015-0160,45.35,10.0,45.35,2267.5,1
C14-2015-0160,45.35,10.0,45.35,2267.5,0
C14-2015-0160,45.35,10.0,45.35,2267.5,0
C14-2022-0150,0.0,1.0,0.0,0.0,1
C14-2008-0171,0.2,9.0,0.2,10.0,1
C14-2009-0168,4.89,10.0,4.89,244.49999999999997,0
C14-2009-0168,4.89,10.0,4.89,244.49999999999997,0
C14-2016-0064,0.0,2.0,0.0,0.0,0
C14-2010-0084,0.229,2.0,0.229,11.450000000000001,1
C14-2010-0084,0.229,2.0,0.229,11.450000000000001,0
C14-2012-0109,2.297,5.0,2.297,114.85000000000001,1
C14-2012-0109,2.297,5.0,2.297,114.85000000000001,1
C14-2012-0109,2.297,5.0,2.297,114.85000000000001,0
C14-2012-0109,2.297,5.0,2.297,114.85000000000001,0
C14-2021-0008.SH,0.0,3.0,0.0,0.0,0
C14-2020-0121,0.0,5.0,0.0,0.0,1
C14-2019-0011,0.0,1.0,0.0,0.0,1
C14-2016-0025,0.0,1.0,0.0,0.0,0
C14-2016-0025,0.0,1.0,0.0,0.0,1
C14-2011-0133,2.16,9.0,2.16,108.0,0
C14-2011-0133,2.16,9.0,2.16,108.0,0
C14-2011-0133,2.16,9.0,2.16,108.0,0
C14-2011-0133,2.16,9.0,2.16,108.0,1
C14-2011-0133,2.16,9.0,2.16,108.0,0
C14-2011-0133,2.16,9.0,2.16,108.0,0
C14-2011-0133,2.16,9.0,2.16,108.0,1
C14-2011-0133,2.16,9.0,2.16,108.0,0
C14-2008-0162,0.957,9.0,0.957,47.85,1
C14-2013-0022,0.9513,9.0,0.9513,47.565000000000005,0
C14-2015-0047,3.561,5.0,3.561,178.05,1
C14-2015-0047,3.561,5.0,3.561,178.05,1
C14-2015-0047,3.561,5.0,3.561,178.05,0
C14-2015-0047,3.561,5.0,3.561,178.05,0
C14-2015-0086,10.369,1.0,10.369,518.45,0
C14-2015-0086,10.369,1.0,10.369,518.45,0
C14-2015-0086,10.369,1.0,10.369,518.45,1
C14-2015-0086,10.369,1.0,10.369,518.45,1
C14-2015-0086,10.369,1.0,10.369,518.45,0
C14-2015-0086,10.369,1.0,10.369,518.45,1
C14-2020-0102,0.0,8.0,0.0,0.0,0
C14-2020-0067,0.0,3.0,0.0,0.0,0
C14-2008-0175,0.1955,4.0,0.1955,9.775,0
C14-2017-0123,0.0,5.0,0.0,0.0,1
C14-2017-0123,0.0,5.0,0.0,0.0,1
C14-2017-0123,0.0,5.0,0.0,0.0,1
C14-2017-0123,0.0,5.0,0.0,0.0,0
C14-2021-0123,0.0,2.0,0.0,0.0,1
C14-2021-0193,0.0,2.0,0.0,0.0,0
C14-2024-0071,0.0,5.0,0.0,0.0,0
C14-2007-0259,38.84,0.0,38.84,1942.0000000000002,1
C14-2021-0082,0.0,1.0,0.0,0.0,0
C14-2015-0001,7.02,1.0,7.02,351.0,0
C14-2015-0001,7.02,1.0,7.02,351.0,0
C14-2015-0001,7.02,1.0,7.02,351.0,0
C14-2013-0158,0.2535,9.0,0.2535,12.675,1
C14-2013-0158,0.2535,9.0,0.2535,12.675,1
C14-2013-0158,0.2535,9.0,0.2535,12.675,1
C14-2013-0158,0.2535,9.0,0.2535,12.675,0
C14-2013-0158,0.2535,9.0,0.2535,12.675,1
C14-2013-0158,0.2535,9.0,0.2535,12.675,1
C14-2013-0158,0.2535,9.0,0.2535,12.675,1
C14-2024-0019.SH,0.0,3.0,0.0,0.0,0
C14-2020-0022,0.0,1.0,0.0,0.0,0
C14-2023-0126,0.0,10.0,0.0,0.0,1
C14-2008-0052,0.517,5.0,0.517,25.85,1
C14-2023-0034,0.0,0.0,0.0,0.0,1
C14-2022-0004,0.0,5.0,0.0,0.0,1
C14-2013-0031,1.06,5.0,1.06,53.0,1
C14-2013-0031,1.06,5.0,1.06,53.0,0
C14-2013-0031,1.06,5.0,1.06,53.0,1
C14-2013-0031,1.06,5.0,1.06,53.0,1
C14-2013-0031,1.06,5.0,1.06,53.0,0
C14-2012-0067,10.65,3.0,10.65,532.5,0
C14-2012-0067,10.65,3.0,10.65,532.5,0
C14-2012-0067,10.65,3.0,10.65,532.5,0
C14-2012-0067,10.65,3.0,10.65,532.5,1
C14-2012-0067,10.65,3.0,10.65,532.5,0
C14-2018-0141,0.0,5.0,0.0,0.0,1
C14-2018-0141,0.0,5.0,0.0,0.0,0
C14-2018-0141,0.0,5.0,0.0,0.0,1
C14-2018-0141,0.0,5.0,0.0,0.0,0
C14-2018-0141,0.0,5.0,0.0,0.0,1
C14-2021-0050,0.0,5.0,0.0,0.0,1
C14-2022-0033,0.0,2.0,0.0,0.0,0
C14-2013-0098,0.7292,6.0,0.7292,36.46,0
C14-2013-0098,0.7292,6.0,0.7292,36.46,0
C14-2013-0098,0.7292,6.0,0.7292,36.46,1
C14H-2018-0013,0.0,9.0,0.0,0.0,1
C14H-2018-0013,0.0,9.0,0.0,0.0,1
C14H-2018-0013,0.0,9.0,0.0,0.0,0
C14-2020-0029,0.0,3.0,0.0,0.0,1
C14-2020-0147,0.0,9.0,0.0,0.0,1
C14-2021-0150,0.0,5.0,0.0,0.0,1
C14-2021-0055,0.0,7.0,0.0,0.0,0
C14-2021-0037,0.0,0.0,0.0,0.0,0
C14H-2010-0006,0.0,9.0,0.0,0.0,1
C14H-2010-0006,0.0,9.0,0.0,0.0,1
C14H-2010-0006,0.0,9.0,0.0,0.0,0
C14H-2010-0006,0.0,9.0,0.0,0.0,0
C14H-2015-0006,0.0,5.0,0.0,0.0,0
C14-2008-0113,0.1147,3.0,0.1147,5.734999999999999,0
C14-2013-0097,0.9868,6.0,0.9868,49.34,0
C14-2013-0097,0.9868,6.0,0.9868,49.34,1
C14-2013-0097,0.9868,6.0,0.9868,49.34,0
C14-2013-0104,0.24,9.0,0.24,12.0,1
C14-2013-0104,0.24,9.0,0.24,12.0,0
C14-2021-0007,0.0,3.0,0.0,0.0,1
C14-2015-0050,0.0,4.0,0.0,0.0,1
C14-2015-0050,0.0,4.0,0.0,0.0,1
C14-2015-0043,0.0,3.0,0.0,0.0,1
C14-2015-0043,0.0,3.0,0.0,0.0,0
C14-2015-0043,0.0,3.0,0.0,0.0,0
C14-2015-0043,0.0,3.0,0.0,0.0,0
C14-2008-0025,0.615,5.0,0.615,30.75,1
C14-2013-0107,5.383,3.0,5.383,269.15,0
C14-2013-0107,5.383,3.0,5.383,269.15,0
C14-2013-0107,5.383,3.0,5.383,269.15,0
C14-2008-0131,7.4,7.0,7.4,370.0,0
C14H-2014-0014,0.0,9.0,0.0,0.0,0
C14H-2014-0014,0.0,9.0,0.0,0.0,0
C14H-2014-0014,0.0,9.0,0.0,0.0,0
C14H-2018-0084,0.0,10.0,0.0,0.0,0
C14H-2018-0084,0.0,10.0,0.0,0.0,1
C14-2010-0077,0.0,5.0,0.0,0.0,1
C14-2013-0060,1.834,2.0,1.834,91.7,1
C14-2013-0060,1.834,2.0,1.834,91.7,0
C14-2013-0060,1.834,2.0,1.834,91.7,1
C14-2013-0060,1.834,2.0,1.834,91.7,1
C14-2013-0060,1.834,2.0,1.834,91.7,1
C14-2014-0015,0.2,10.0,0.2,10.0,1
C14-2014-0015,0.2,10.0,0.2,10.0,1
C14-2021-0039,0.0,4.0,0.0,0.0,1
C14-2010-0039,0.46,9.0,0.46,23.0,0
C14-2021-0117,0.0,5.0,0.0,0.0,1
C14-2015-0105,0.0,5.0,0.0,0.0,0
C14-2015-0105,0.0,5.0,0.0,0.0,0
C14-2013-0053,22.73,5.0,22.73,1136.5,0
C14-2013-0053,22.73,5.0,22.73,1136.5,1
C14-2015-0106,0.0,5.0,0.0,0.0,0
C14-2015-0106,0.0,5.0,0.0,0.0,0
C14-2015-0025,0.0,7.0,0.0,0.0,0
C14-2015-0025,0.0,7.0,0.0,0.0,1
C14-2015-0025,0.0,7.0,0.0,0.0,0
C14-2021-0127,0.0,1.0,0.0,0.0,1
C14-2010-0034,8.21,5.0,8.21,410.50000000000006,0
C14-2010-0034,8.21,5.0,8.21,410.50000000000006,1
C14-2010-0034,8.21,5.0,8.21,410.50000000000006,1
C14-2010-0034,8.21,5.0,8.21,410.50000000000006,1
C14-2010-0034,8.21,5.0,8.21,410.50000000000006,1
C14-2018-0149,0.0,1.0,0.0,0.0,1
C14-2024-0104,0.0,1.0,0.0,0.0,0
C14-2012-0130,0.811,9.0,0.811,40.550000000000004,0
C14-2012-0130,0.811,9.0,0.811,40.550000000000004,1
C14-2012-0130,0.811,9.0,0.811,40.550000000000004,0
C14-2012-0130,0.811,9.0,0.811,40.550000000000004,1
C14-2011-0032,0.45,9.0,0.45,22.5,1
C14H-2010-0019,0.0,9.0,0.0,0.0,1
C14H-2010-0019,0.0,9.0,0.0,0.0,0
C14-2011-0134,0.83,9.0,0.83,41.5,0
C14-2011-0134,0.83,9.0,0.83,41.5,1
C14-2011-0134,0.83,9.0,0.83,41.5,1
C14-2011-0134,0.83,9.0,0.83,41.5,1
C14-2011-0134,0.83,9.0,0.83,41.5,0
C14-2011-0134,0.83,9.0,0.83,41.5,1
C14-2011-0134,0.83,9.0,0.83,41.5,1
C14-2011-0134,0.83,9.0,0.83,41.5,1
C14-2020-0048,0.0,9.0,0.0,0.0,0
C14-2009-0077,0.48,10.0,0.48,24.0,0
C14-2022-0010,0.0,10.0,0.0,0.0,0
C14-2022-0047,0.0,9.0,0.0,0.0,1
C14-2022-0076,0.0,9.0,0.0,0.0,1
C14-2021-0183,0.0,9.0,0.0,0.0,1
C14-2008-0115,2.15,8.0,2.15,107.5,1
C14-2017-0098,0.0,3.0,0.0,0.0,1
C14-2017-0098,0.0,3.0,0.0,0.0,1
C14-2017-0098,0.0,3.0,0.0,0.0,1
C14-2007-0144,1.265,9.0,1.265,63.24999999999999,1
C14-2019-0164,0.0,1.0,0.0,0.0,0
C14-2019-0164,0.0,1.0,0.0,0.0,0
C14-2010-0113,0.358,9.0,0.358,17.9,0
C14-2010-0113,0.358,9.0,0.358,17.9,0
C14-2013-0126,5.957,6.0,5.957,297.84999999999997,1
C14-2018-0100.SH,0.0,1.0,0.0,0.0,1
C14-2019-0078,0.0,3.0,0.0,0.0,1
C14-2019-0078,0.0,3.0,0.0,0.0,0
C14-2019-0078,0.0,3.0,0.0,0.0,0
C14-2008-0154,1.44,1.0,1.44,72.0,1
C14-2011-0058,0.44,9.0,0.44,22.0,1
C14-2011-0058,0.44,9.0,0.44,22.0,0
C14-2011-0058,0.44,9.0,0.44,22.0,0
C14-2013-0087,0.0,9.0,0.0,0.0,1
C14-2018-0002,11.92,1.0,11.92,596.0,1
C14-2018-0002,11.92,1.0,11.92,596.0,1
C14-2018-0002,11.92,1.0,11.92,596.0,1
C14-2012-0052,0.0,7.0,0.0,0.0,1
C14-2012-0052,0.0,7.0,0.0,0.0,1
C14-2012-0052,0.0,7.0,0.0,0.0,1
C14-2012-0052,0.0,7.0,0.0,0.0,1
C14-2012-0052,0.0,7.0,0.0,0.0,0
C14-2012-0052,0.0,7.0,0.0,0.0,1
C14-2022-0133,0.0,1.0,0.0,0.0,0
C14-2012-0083,1.8398,9.0,1.8398,91.99000000000001,0
C14-2012-0083,1.8398,9.0,1.8398,91.99000000000001,1
C14-2012-0083,1.8398,9.0,1.8398,91.99000000000001,1
C14-2012-0083,1.8398,9.0,1.8398,91.99000000000001,1
C14-2012-0083,1.8398,9.0,1.8398,91.99000000000001,1
C14-2012-0083,1.8398,9.0,1.8398,91.99000000000001,0
C14-2012-0083,1.8398,9.0,1.8398,91.99000000000001,0
C14-2012-0083,1.8398,9.0,1.8398,91.99000000000001,0
C14-2009-0059,0.22,3.0,0.22,11.0,1
C14-2023-0035,0.0,4.0,0.0,0.0,0
C14-2020-0151,0.0,2.0,0.0,0.0,0
C14-2015-0003,0.0,2.0,0.0,0.0,1
C14-2016-0125,0.0,1.0,0.0,0.0,0
C14-2016-0125,0.0,1.0,0.0,0.0,0
C14-2016-0125,0.0,1.0,0.0,0.0,1
C14-2018-0150,0.0,9.0,0.0,0.0,1
C14-2018-0150,0.0,9.0,0.0,0.0,0
C14-2021-0161,0.0,5.0,0.0,0.0,0
C14-2014-0047,23.49,10.0,23.49,1174.5,0
C14-2014-0047,23.49,10.0,23.49,1174.5,0
C14-2014-0047,23.49,10.0,23.49,1174.5,0
C14-2015-0094,0.124,9.0,0.124,6.2,1
C14-2015-0094,0.124,9.0,0.124,6.2,1
C14-2015-0094,0.124,9.0,0.124,6.2,1
C14-2021-0081,0.0,9.0,0.0,0.0,1
C14-2023-0114,0.0,9.0,0.0,0.0,0
C14-2017-0052,0.0,10.0,0.0,0.0,1
C14-2017-0052,0.0,10.0,0.0,0.0,1
C14-2021-0125,0.0,3.0,0.0,0.0,0
C14-2020-0143,0.0,1.0,0.0,0.0,0
C14-2019-0098,0.0,3.0,0.0,0.0,0
C14-2019-0098,0.0,3.0,0.0,0.0,0
C14-2019-0098,0.0,3.0,0.0,0.0,0
C14-2021-0023.SH,0.0,1.0,0.0,0.0,0
C14-2022-0114,0.0,3.0,0.0,0.0,1
C14-2019-0026,0.0,3.0,0.0,0.0,0
C14-2019-0007,0.0,3.0,0.0,0.0,1
C14-2019-0007,0.0,3.0,0.0,0.0,1
C14-2019-0007,0.0,3.0,0.0,0.0,1
C14-2019-0007,0.0,3.0,0.0,0.0,0
C14-2024-0080,0.0,4.0,0.0,0.0,0
C14-2011-0054,3.88,10.0,3.88,194.0,1
C14-2024-0122,0.0,1.0,0.0,0.0,1
C14-2010-0143,1.68,3.0,1.68,84.0,0
C14-2010-0143,1.68,3.0,1.68,84.0,0
C14-2022-0018.SH,0.0,4.0,0.0,0.0,0
C14-2013-0096,0.5734,6.0,0.5734,28.67,0
C14-2013-0096,0.5734,6.0,0.5734,28.67,1
C14-2013-0096,0.5734,6.0,0.5734,28.67,1
C14-2014-0123,0.0,3.0,0.0,0.0,0
C14-2014-0123,0.0,3.0,0.0,0.0,0
C14-2014-0123,0.0,3.0,0.0,0.0,1
C14-2022-0084,0.0,9.0,0.0,0.0,1
C14-2008-0112,0.19,5.0,0.19,9.5,1
C14-2014-0193,34.2,7.0,34.2,1710.0000000000002,0
C14-2014-0193,34.2,7.0,34.2,1710.0000000000002,1
C14-2014-0193,34.2,7.0,34.2,1710.0000000000002,0
C14-2014-0193,34.2,7.0,34.2,1710.0000000000002,0
C14-2014-0193,34.2,7.0,34.2,1710.0000000000002,1
C14-2024-0051,0.0,10.0,0.0,0.0,0
C14-2014-0159,0.0,3.0,0.0,0.0,0
C14-2014-0070,1.0,3.0,1.0,50.0,1
C14-2014-0070,1.0,3.0,1.0,50.0,1
C14-2018-0096,0.0,3.0,0.0,0.0,1
C14-2020-0075,0.0,9.0,0.0,0.0,1
C14-2018-0093,0.0,3.0,0.0,0.0,0
C14-2018-0093,0.0,3.0,0.0,0.0,1
C14-2020-0030,0.0,3.0,0.0,0.0,0
C14-2013-0095,0.3069,6.0,0.3069,15.345,0
C14-2013-0095,0.3069,6.0,0.3069,15.345,1
C14-2013-0095,0.3069,6.0,0.3069,15.345,0
C14-2019-0090,0.0,5.0,0.0,0.0,1
C14-2019-0090,0.0,5.0,0.0,0.0,0
C14-2019-0090,0.0,5.0,0.0,0.0,0
C14-2023-0032,0.0,5.0,0.0,0.0,0
C14H-2019-0077,0.0,3.0,0.0,0.0,0
C14-2019-0027,0.0,2.0,0.0,0.0,1
C14-2023-0014,0.0,5.0,0.0,0.0,1
C14-2015-0019,2.93,0.0,2.93,146.5,0
C14-2017-0094,0.0,3.0,0.0,0.0,0
C14-2017-0094,0.0,3.0,0.0,0.0,0
C14-2017-0094,0.0,3.0,0.0,0.0,0
C14-2017-0094,0.0,3.0,0.0,0.0,0
C14-2017-0094,0.0,3.0,0.0,0.0,1
C14-2017-0094,0.0,3.0,0.0,0.0,0
C14-2017-0094,0.0,3.0,0.0,0.0,1
C14-2017-0094,0.0,3.0,0.0,0.0,0
C14-2017-0094,0.0,3.0,0.0,0.0,1
C14-2017-0094,0.0,3.0,0.0,0.0,0
C14-2017-0094,0.0,3.0,0.0,0.0,1
C14-2021-0100,0.0,10.0,0.0,0.0,0
C14-2016-0039,0.0,5.0,0.0,0.0,1
C14-2016-0039,0.0,5.0,0.0,0.0,1
C14-2016-0039,0.0,5.0,0.0,0.0,0
C14-2016-0039,0.0,5.0,0.0,0.0,1
C14-2016-0039,0.0,5.0,0.0,0.0,1
C14-2016-0039,0.0,5.0,0.0,0.0,0
C14-2016-0039,0.0,5.0,0.0,0.0,1
C14-2016-0039,0.0,5.0,0.0,0.0,0
C14-2010-0206,0.512,9.0,0.512,25.6,0
C14-2010-0206,0.512,9.0,0.512,25.6,1
C14-2021-0139,0.0,9.0,0.0,0.0,0
C14-2020-0038,0.0,3.0,0.0,0.0,1
C14-2008-0066,5.99,8.0,5.99,299.5,0
C14-2010-0025,1.011,7.0,1.011,50.55,1
C14-2008-0099,1.0,1.0,1.0,50.0,1
C14-2021-0056,0.0,5.0,0.0,0.0,1
C14-2019-0049,0.0,10.0,0.0,0.0,0
C14-2023-0119,0.0,3.0,0.0,0.0,1
C14-2024-0070,0.0,1.0,0.0,0.0,1
C14-2010-0017,6.689,10.0,6.689,334.45,0
C14-2010-0017,6.689,10.0,6.689,334.45,1
C14-2010-0045,8.06,7.0,8.06,403.0,0
C14-2023-0153,0.0,3.0,0.0,0.0,0
C14-2015-0093,0.16,9.0,0.16,8.0,1
C14-2015-0093,0.16,9.0,0.16,8.0,1
C14-2015-0093,0.16,9.0,0.16,8.0,0
C14-2010-0122,0.06,5.0,0.06,3.0,0
C14-2010-0122,0.06,5.0,0.06,3.0,1
C14-2010-0079,0.0,9.0,0.0,0.0,0
C14-2008-0031,108.0,0.0,108.0,5400.0,1
C14-2023-0141.SH,0.0,1.0,0.0,0.0,0
C14-2023-0007.SH,0.0,2.0,0.0,0.0,1
C14-2023-0083,0.0,10.0,0.0,0.0,0
C14-2015-0001,7.02,1.0,7.02,351.0,0
C14-2015-0001,7.02,1.0,7.02,351.0,1
C14-2015-0001,7.02,1.0,7.02,351.0,0
C14-2024-0109,0.0,1.0,0.0,0.0,0
C14-2023-0006,0.0,5.0,0.0,0.0,0
C14-2010-0191.SH,3.081,3.0,3.081,154.05,1
C14-2008-0166,0.746,1.0,0.746,37.3,0
C14-2023-0077,0.0,7.0,0.0,0.0,0
C14-2009-0032,2.0117,9.0,2.0117,100.585,1
C14-2021-0141,0.0,1.0,0.0,0.0,0
C14-2016-0063.SH,0.0,3.0,0.0,0.0,0
C14-2016-0063.SH,0.0,3.0,0.0,0.0,1
C14-2016-0096,0.0,10.0,0.0,0.0,1
C14-2016-0096,0.0,10.0,0.0,0.0,1
C14-2016-0096,0.0,10.0,0.0,0.0,1
C14-2016-0096,0.0,10.0,0.0,0.0,0
C14-2016-0096,0.0,10.0,0.0,0.0,1
C14-2014-0036,2.275,7.0,2.275,113.75,0
C14-2014-0036,2.275,7.0,2.275,113.75,1
C14-2014-0036,2.275,7.0,2.275,113.75,0
C14-2015-0001,7.02,1.0,7.02,351.0,1
C14-2015-0001,7.02,1.0,7.02,351.0,1
C14-2015-0001,7.02,1.0,7.02,351.0,1
C14H-2021-0164,0.0,7.0,0.0,0.0,1
C14-2012-0116,0.387,9.0,0.387,19.35,1
C14-2021-0009,0.0,9.0,0.0,0.0,1
C14-2013-0040,9.862,9.0,9.862,493.1,1
C14-2013-0040,9.862,9.0,9.862,493.1,1
C14-2013-0040,9.862,9.0,9.862,493.1,1
C14-2013-0040,9.862,9.0,9.862,493.1,1
C14-2020-0081,0.0,9.0,0.0,0.0,1
C14-2021-0128,0.0,3.0,0.0,0.0,1
C14-2012-0140,2.59,0.0,2.59,129.5,0
C14-2012-0140,2.59,0.0,2.59,129.5,1
C14-2012-0140,2.59,0.0,2.59,129.5,0
C14-2012-0140,2.59,0.0,2.59,129.5,1
C14-2015-0104,23.091,3.0,23.091,1154.55,0
C14-2015-0104,23.091,3.0,23.091,1154.55,1
C14-2015-0104,23.091,3.0,23.091,1154.55,1
C14-2015-0104,23.091,3.0,23.091,1154.55,0
C14-2015-0104,23.091,3.0,23.091,1154.55,1
C14-2015-0104,23.091,3.0,23.091,1154.55,1
C14-2015-0104,23.091,3.0,23.091,1154.55,1
C14-2011-0141,9.51,0.0,9.51,475.5,1
C14-2011-0141,9.51,0.0,9.51,475.5,1
C14-2011-0141,9.51,0.0,9.51,475.5,1
C14-2011-0141,9.51,0.0,9.51,475.5,1
C14-2011-0141,9.51,0.0,9.51,475.5,1
C14-2011-0141,9.51,0.0,9.51,475.5,0
C14-2011-0141,9.51,0.0,9.51,475.5,0
C14-2011-0141,9.51,0.0,9.51,475.5,0
C14-2009-0106,23.98,0.0,23.98,1199.0,0
C14-2010-0049,669.83,0.0,669.83,33491.5,0
C14-2020-0023,0.0,0.0,0.0,0.0,0
C14-2012-0100,1.465,0.0,1.465,73.25,0
C14-2012-0100,1.465,0.0,1.465,73.25,0
C14-2012-0100,1.465,0.0,1.465,73.25,0
C14-2012-0100,1.465,0.0,1.465,73.25,0
C14-2012-0100,1.465,0.0,1.465,73.25,0
C14-2014-0127,0.0,0.0,0.0,0.0,1
C14-2014-0127,0.0,0.0,0.0,0.0,1
C14-2018-0124,0.0,0.0,0.0,0.0,0
C14-2018-0124,0.0,0.0,0.0,0.0,0
C14-2018-0124,0.0,0.0,0.0,0.0,1
C14-2018-0124,0.0,0.0,0.0,0.0,0
C14-2018-0124,0.0,0.0,0.0,0.0,1
