CASE_NUMBER,h0_filing,h1_notice,h2_pre_commission,h3_pre_council,council_date
C14-2013-0104,2013-04-03,2013-06-17,2013-07-02,2013-07-29,2013-08-01
C14-2021-0007,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-2015-0050,2015-04-03,2015-06-17,2015-07-02,2015-07-29,2015-08-01
C14-2015-0043,2015-04-03,2015-06-17,2015-07-02,2015-07-29,2015-08-01
C14-2008-0025,2008-04-03,2008-06-17,2008-07-02,2008-07-29,2008-08-01
C14-2013-0107,2013-04-03,2013-06-17,2013-07-02,2013-07-29,2013-08-01
C14-2008-0131,2008-04-03,2008-06-17,2008-07-02,2008-07-29,2008-08-01
C14H-2014-0014,2014-04-03,2014-06-17,2014-07-02,2014-07-29,2014-08-01
C14H-2018-0084,2018-04-03,2018-06-17,2018-07-02,2018-07-29,2018-08-01
C14-2010-0077,2010-04-03,2010-06-17,2010-07-02,2010-07-29,2010-08-01
C14-2013-0060,2013-04-03,2013-06-17,2013-07-02,2013-07-29,2013-08-01
C14-2014-0015,2014-04-03,2014-06-17,2014-07-02,2014-07-29,2014-08-01
C14-2021-0039,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-2010-0039,2010-04-03,2010-06-17,2010-07-02,2010-07-29,2010-08-01
C14-2021-0117,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-2015-0105,2015-04-03,2015-06-17,2015-07-02,2015-07-29,2015-08-01
C14-2013-0053,2013-04-03,2013-06-17,2013-07-02,2013-07-29,2013-08-01
C14-2015-0106,2015-04-03,2015-06-17,2015-07-02,2015-07-29,2015-08-01
C14-2015-0025,2015-04-03,2015-06-17,2015-07-02,2015-07-29,2015-08-01
C14-2021-0127,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-2010-0034,2010-04-03,2010-06-17,2010-07-02,2010-07-29,2010-08-01
C14-2018-0149,2018-04-03,2018-06-17,2018-07-02,2018-07-29,2018-08-01
C14-2024-0104,2024-04-03,2024-06-17,2024-07-02,2024-07-29,2024-08-01
C14-2012-0130,2012-04-03,2012-06-17,2012-07-02,2012-07-29,2012-08-01
C14-2011-0032,2011-04-03,2011-06-17,2011-07-02,2011-07-29,2011-08-01
C14H-2010-0019,2010-04-03,2010-06-17,2010-07-02,2010-07-29,2010-08-01
C14-2011-0134,2011-04-03,2011-06-17,2011-07-02,2011-07-29,2011-08-01
C14-2020-0048,2020-04-03,2020-06-17,2020-07-02,2020-07-29,2020-08-01
C14-2009-0077,2009-04-03,2009-06-17,2009-07-02,2009-07-29,2009-08-01
C14-2022-0010,2022-04-03,2022-06-17,2022-07-02,2022-07-29,2022-08-01
C14-2022-0047,2022-04-03,2022-06-17,2022-07-02,2022-07-29,2022-08-01
C14-2022-0076,2022-04-03,2022-06-17,2022-07-02,2022-07-29,2022-08-01
C14-2021-0183,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-2008-0115,2008-04-03,2008-06-17,2008-07-02,2008-07-29,2008-08-01
C14-2017-0098,2017-04-03,2017-06-17,2017-07-02,2017-07-29,2017-08-01
C14-2007-0144,2007-04-03,2007-06-17,2007-07-02,2007-07-29,2007-08-01
C14-2019-0164,2019-04-03,2019-06-17,2019-07-02,2019-07-29,2019-08-01
C14-2010-0113,2010-04-03,2010-06-17,2010-07-02,2010-07-29,2010-08-01
C14-2013-0126,2013-04-03,2013-06-17,2013-07-02,2013-07-29,2013-08-01
C14-2018-0100.SH,2018-04-03,2018-06-17,2018-07-02,2018-07-29,2018-08-01
C14-2019-0078,2019-04-03,2019-06-17,2019-07-02,2019-07-29,2019-08-01
C14-2008-0154,2008-04-03,2008-06-17,2008-07-02,2008-07-29,2008-08-01
C14-2011-0058,2011-04-03,2011-06-17,2011-07-02,2011-07-29,2011-08-01
C14-2013-0087,2013-04-03,2013-06-17,2013-07-02,2013-07-29,2013-08-01
C14-2018-0002,2018-04-03,2018-06-17,2018-07-02,2018-07-29,2018-08-01
C14-2012-0052,2012-04-03,2012-06-17,2012-07-02,2012-07-29,2012-08-01
C14-2022-0133,2022-04-03,2022-06-17,2022-07-02,2022-07-29,2022-08-01
C14-2012-0083,2012-04-03,2012-06-17,2012-07-02,2012-07-29,2012-08-01
C14-2009-0059,2009-04-03,2009-06-17,2009-07-02,2009-07-29,2009-08-01
C14-2023-0035,2023-04-03,2023-06-17,2023-07-02,2023-07-29,2023-08-01
C14-2020-0151,2020-04-03,2020-06-17,2020-07-02,2020-07-29,2020-08-01
C14-2015-0003,2015-04-03,2015-06-17,2015-07-02,2015-07-29,2015-08-01
C14-2016-0125,2016-04-03,2016-06-17,2016-07-02,2016-07-29,2016-08-01
C14-2018-0150,2018-04-03,2018-06-17,2018-07-02,2018-07-29,2018-08-01
C14-2021-0161,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-2014-0047,2014-04-03,2014-06-17,2014-07-02,2014-07-29,2014-08-01
C14-2015-0094,2015-04-03,2015-06-17,2015-07-02,2015-07-29,2015-08-01
C14-2021-0081,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-2023-0114,2023-04-03,2023-06-17,2023-07-02,2023-07-29,2023-08-01
C14-2017-0052,2017-04-03,2017-06-17,2017-07-02,2017-07-29,2017-08-01
C14-2021-0125,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-2020-0143,2020-04-03,2020-06-17,2020-07-02,2020-07-29,2020-08-01
C14-2019-0098,2019-04-03,2019-06-17,2019-07-02,2019-07-29,2019-08-01
C14-2021-0023.SH,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-2022-0114,2022-04-03,2022-06-17,2022-07-02,2022-07-29,2022-08-01
C14-2019-0026,2019-04-03,2019-06-17,2019-07-02,2019-07-29,2019-08-01
C14-2019-0007,2019-04-03,2019-06-17,2019-07-02,2019-07-29,2019-08-01
C14-2024-0080,2024-04-03,2024-06-17,2024-07-02,2024-07-29,2024-08-01
C14-2011-0054,2011-04-03,2011-06-17,2011-07-02,2011-07-29,2011-08-01
C14-2024-0122,2024-04-03,2024-06-17,2024-07-02,2024-07-29,2024-08-01
C14-2010-0143,2010-04-03,2010-06-17,2010-07-02,2010-07-29,2010-08-01
C14-2022-0018.SH,2022-04-03,2022-06-17,2022-07-02,2022-07-29,2022-08-01
C14-2013-0096,2013-04-03,2013-06-17,2013-07-02,2013-07-29,2013-08-01
C14-2014-0123,2014-04-03,2014-06-17,2014-07-02,2014-07-29,2014-08-01
C14-2022-0084,2022-04-03,2022-06-17,2022-07-02,2022-07-29,2022-08-01
C14-2008-0112,2008-04-03,2008-06-17,2008-07-02,2008-07-29,2008-08-01
C14-2014-0193,2014-04-03,2014-06-17,2014-07-02,2014-07-29,2014-08-01
C14-2024-0051,2024-04-03,2024-06-17,2024-07-02,2024-07-29,2024-08-01
C14-2014-0159,2014-04-03,2014-06-17,2014-07-02,2014-07-29,2014-08-01
C14-2014-0070,2014-04-03,2014-06-17,2014-07-02,2014-07-29,2014-08-01
C14-2018-0096,2018-04-03,2018-06-17,2018-07-02,2018-07-29,2018-08-01
C14-2020-0075,2020-04-03,2020-06-17,2020-07-02,2020-07-29,2020-08-01
C14-2018-0093,2018-04-03,2018-06-17,2018-07-02,2018-07-29,2018-08-01
C14-2020-0030,2020-04-03,2020-06-17,2020-07-02,2020-07-29,2020-08-01
C14-2013-0095,2013-04-03,2013-06-17,2013-07-02,2013-07-29,2013-08-01
C14-2019-0090,2019-04-03,2019-06-17,2019-07-02,2019-07-29,2019-08-01
C14-2023-0032,2023-04-03,2023-06-17,2023-07-02,2023-07-29,2023-08-01
C14H-2019-0077,2019-04-03,2019-06-17,2019-07-02,2019-07-29,2019-08-01
C14-2019-0027,2019-04-03,2019-06-17,2019-07-02,2019-07-29,2019-08-01
C14-2023-0014,2023-04-03,2023-06-17,2023-07-02,2023-07-29,2023-08-01
C14-2015-0019,2015-04-03,2015-06-17,2015-07-02,2015-07-29,2015-08-01
C14-2017-0094,2017-04-03,2017-06-17,2017-07-02,2017-07-29,2017-08-01
C14-2021-0100,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-2016-0039,2016-04-03,2016-06-17,2016-07-02,2016-07-29,2016-08-01
C14-2010-0206,2010-04-03,2010-06-17,2010-07-02,2010-07-29,2010-08-01
C14-2021-0139,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-2020-0038,2020-04-03,2020-06-17,2020-07-02,2020-07-29,2020-08-01
C14-2008-0066,2008-04-03,2008-06-17,2008-07-02,2008-07-29,2008-08-01
C14-2010-0025,2010-04-03,2010-06-17,2010-07-02,2010-07-29,2010-08-01
C14-2008-0099,2008-04-03,2008-06-17,2008-07-02,2008-07-29,2008-08-01
C14-2021-0056,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-2019-0049,2019-04-03,2019-06-17,2019-07-02,2019-07-29,2019-08-01
C14-2023-0119,2023-04-03,2023-06-17,2023-07-02,2023-07-29,2023-08-01
C14-2024-0070,2024-04-03,2024-06-17,2024-07-02,2024-07-29,2024-08-01
C14-2010-0017,2010-04-03,2010-06-17,2010-07-02,2010-07-29,2010-08-01
C14-2010-0045,2010-04-03,2010-06-17,2010-07-02,2010-07-29,2010-08-01
C14-2023-0153,2023-04-03,2023-06-17,2023-07-02,2023-07-29,2023-08-01
C14-2015-0093,2015-04-03,2015-06-17,2015-07-02,2015-07-29,2015-08-01
C14-2010-0122,2010-04-03,2010-06-17,2010-07-02,2010-07-29,2010-08-01
C14-2010-0079,2010-04-03,2010-06-17,2010-07-02,2010-07-29,2010-08-01
C14-2008-0031,2008-04-03,2008-06-17,2008-07-02,2008-07-29,2008-08-01
C14-2023-0141.SH,2023-04-03,2023-06-17,2023-07-02,2023-07-29,2023-08-01
C14-2023-0007.SH,2023-04-03,2023-06-17,2023-07-02,2023-07-29,2023-08-01
C14-2023-0083,2023-04-03,2023-06-17,2023-07-02,2023-07-29,2023-08-01
C14-2015-0001,2015-04-03,2015-06-17,2015-07-02,2015-07-29,2015-08-01
C14-2024-0109,2024-04-03,2024-06-17,2024-07-02,2024-07-29,2024-08-01
C14-2023-0006,2023-04-03,2023-06-17,2023-07-02,2023-07-29,2023-08-01
C14-2010-0191.SH,2010-04-03,2010-06-17,2010-07-02,2010-07-29,2010-08-01
C14-2008-0166,2008-04-03,2008-06-17,2008-07-02,2008-07-29,2008-08-01
C14-2023-0077,2023-04-03,2023-06-17,2023-07-02,2023-07-29,2023-08-01
C14-2009-0032,2009-04-03,2009-06-17,2009-07-02,2009-07-29,2009-08-01
C14-2021-0141,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-2016-0063.SH,2016-04-03,2016-06-17,2016-07-02,2016-07-29,2016-08-01
C14-2016-0096,2016-04-03,2016-06-17,2016-07-02,2016-07-29,2016-08-01
C14-2014-0036,2014-04-03,2014-06-17,2014-07-02,2014-07-29,2014-08-01
C14-2015-0001,2015-04-03,2015-06-17,2015-07-02,2015-07-29,2015-08-01
C14H-2021-0164,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-2012-0116,2012-04-03,2012-06-17,2012-07-02,2012-07-29,2012-08-01
C14-2021-0009,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-2013-0040,2013-04-03,2013-06-17,2013-07-02,2013-07-29,2013-08-01
C14-2020-0081,2020-04-03,2020-06-17,2020-07-02,2020-07-29,2020-08-01
C14-2021-0128,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-2012-0140,2012-04-03,2012-06-17,2012-07-02,2012-07-29,2012-08-01
C14-2015-0104,2015-04-03,2015-06-17,2015-07-02,2015-07-29,2015-08-01
C14-2011-0141,2011-04-03,2011-06-17,2011-07-02,2011-07-29,2011-08-01
C14-2009-0106,2009-04-03,2009-06-17,2009-07-02,2009-07-29,2009-08-01
C14-2010-0049,2010-04-03,2010-06-17,2010-07-02,2010-07-29,2010-08-01
C14-2020-0023,2020-04-03,2020-06-17,2020-07-02,2020-07-29,2020-08-01
C14-2012-0100,2012-04-03,2012-06-17,2012-07-02,2012-07-29,2012-08-01
C14-2014-0127,2014-04-03,2014-06-17,2014-07-02,2014-07-29,2014-08-01
C14-2018-0124,2018-04-03,2018-06-17,2018-07-02,2018-07-29,2018-08-01
C14-2009-0102,2009-04-03,2009-06-17,2009-07-02,2009-07-29,2009-08-01
C14-2021-0130,2021-04-03,2021-06-17,2021-07-02,2021-07-29,2021-08-01
C14-2010-0048,2010-04-03,2010-06-17,2010-07-02,2010-07-29,2010-08-01
C14-2022-0008.SH,2022-04-03,2022-06-17,2022-07-02,2022-07-29,2022-08-01
C14-2010-0052,2010-04-03,2010-06-17,2010-07-02,2010-07-29,2010-08-01
C14-2008-0060,2008-04-03,2008-06-17,2008-07-02,2008-07-29,2008-08-01
C14-2008-0088,2008-04-03,2008-06-17,2008-07-02,2008-07-29,2008-08-01
C14-2010-0204,2010-04-03,2010-06-17,2010-07-02,2010-07-29,2010-08-01
