CASE_NUMBER,council_member,vote
C14-2008-0057.SH,CM_9,YES
C14-2008-0057.SH,CM_10,YES
C14-2008-0060,Mayor,NO
C14-2008-0060,CM_1,YES
C14-2008-0060,CM_2,NO
C14-2008-0060,CM_3,YES
C14-2008-0060,CM_4,YES
C14-2008-0060,CM_5,YES
C14-2008-0060,CM_6,YES
C14-2008-0060,CM_7,YES
C14-2008-0060,CM_8,YES
C14-2008-0060,CM_9,YES
C14-2008-0060,CM_10,YES
C14-2008-0066,Mayor,YES
C14-2008-0066,CM_1,NO
C14-2008-0066,CM_2,NO
C14-2008-0066,CM_3,YES
C14-2008-0066,CM_4,YES
C14-2008-0066,CM_5,YES
C14-2008-0066,CM_6,YES
C14-2008-0066,CM_7,YES
C14-2008-0066,CM_8,YES
C14-2008-0066,CM_9,YES
C14-2008-0066,CM_10,YES
C14-2008-0088,Mayor,YES
C14-2008-0088,CM_1,NO
C14-2008-0088,CM_2,NO
C14-2008-0088,CM_3,YES
C14-2008-0088,CM_4,YES
C14-2008-0088,CM_5,NO
C14-2008-0088,CM_6,YES
C14-2008-0088,CM_7,YES
C14-2008-0088,CM_8,YES
C14-2008-0088,CM_9,YES
C14-2008-0088,CM_10,YES
C14-2008-0099,Mayor,YES
C14-2008-0099,CM_1,YES
C14-2008-0099,CM_2,YES
C14-2008-0099,CM_3,YES
C14-2008-0099,CM_4,YES
C14-2008-0099,CM_5,NO
C14-2008-0099,CM_6,YES
C14-2008-0099,CM_7,YES
C14-2008-0099,CM_8,YES
C14-2008-0099,CM_9,YES
C14-2008-0099,CM_10,YES
C14-2008-0112,Mayor,YES
C14-2008-0112,CM_1,YES
C14-2008-0112,CM_2,YES
C14-2008-0112,CM_3,YES
C14-2008-0112,CM_4,YES
C14-2008-0112,CM_5,NO
C14-2008-0112,CM_6,YES
C14-2008-0112,CM_7,YES
C14-2008-0112,CM_8,NO
C14-2008-0112,CM_9,YES
C14-2008-0112,CM_10,NO
C14-2008-0113,Mayor,YES
C14-2008-0113,CM_1,YES
C14-2008-0113,CM_2,YES
C14-2008-0113,CM_3,YES
C14-2008-0113,CM_4,YES
C14-2008-0113,CM_5,YES
C14-2008-0113,CM_6,YES
C14-2008-0113,CM_7,NO
C14-2008-0113,CM_8,YES
C14-2008-0113,CM_9,YES
C14-2008-0113,CM_10,NO
C14-2008-0115,Mayor,YES
C14-2008-0115,CM_1,NO
C14-2008-0115,CM_2,YES
C14-2008-0115,CM_3,NO
C14-2008-0115,CM_4,YES
C14-2008-0115,CM_5,YES
C14-2008-0115,CM_6,YES
C14-2008-0115,CM_7,NO
C14-2008-0115,CM_8,YES
C14-2008-0115,CM_9,YES
C14-2008-0115,CM_10,YES
C14-2008-0131,Mayor,YES
C14-2008-0131,CM_1,NO
C14-2008-0131,CM_2,YES
C14-2008-0131,CM_3,YES
C14-2008-0131,CM_4,NO
C14-2008-0131,CM_5,YES
C14-2008-0131,CM_6,YES
C14-2008-0131,CM_7,YES
C14-2008-0131,CM_8,YES
C14-2008-0131,CM_9,NO
C14-2008-0131,CM_10,YES
C14-2008-0151,Mayor,NO
C14-2008-0151,CM_1,YES
C14-2008-0151,CM_2,YES
C14-2008-0151,CM_3,YES
C14-2008-0151,CM_4,NO
C14-2008-0151,CM_5,YES
C14-2008-0151,CM_6,YES
C14-2008-0151,CM_7,YES
C14-2008-0151,CM_8,NO
C14-2008-0151,CM_9,YES
C14-2008-0151,CM_10,YES
C14-2008-0154,Mayor,NO
C14-2008-0154,CM_1,YES
C14-2008-0154,CM_2,NO
C14-2008-0154,CM_3,YES
C14-2008-0154,CM_4,YES
C14-2008-0154,CM_5,YES
C14-2008-0154,CM_6,YES
C14-2008-0154,CM_7,YES
C14-2008-0154,CM_8,YES
C14-2008-0154,CM_9,YES
C14-2008-0154,CM_10,YES
C14-2008-0156,Mayor,YES
C14-2008-0156,CM_1,NO
C14-2008-0156,CM_2,NO
C14-2008-0156,CM_3,NO
C14-2008-0156,CM_4,YES
C14-2008-0156,CM_5,YES
C14-2008-0156,CM_6,YES
C14-2008-0156,CM_7,YES
C14-2008-0156,CM_8,YES
C14-2008-0156,CM_9,YES
C14-2008-0156,CM_10,YES
C14-2008-0162,Mayor,YES
C14-2008-0162,CM_1,YES
C14-2008-0162,CM_2,YES
C14-2008-0162,CM_3,YES
C14-2008-0162,CM_4,YES
C14-2008-0162,CM_5,YES
C14-2008-0162,CM_6,YES
C14-2008-0162,CM_7,YES
C14-2008-0162,CM_8,YES
C14-2008-0162,CM_9,YES
C14-2008-0162,CM_10,NO
C14-2008-0166,Mayor,YES
C14-2008-0166,CM_1,YES
C14-2008-0166,CM_2,NO
C14-2008-0166,CM_3,YES
C14-2008-0166,CM_4,NO
C14-2008-0166,CM_5,YES
C14-2008-0166,CM_6,YES
C14-2008-0166,CM_7,YES
C14-2008-0166,CM_8,NO
C14-2008-0166,CM_9,YES
C14-2008-0166,CM_10,YES
C14-2008-0171,Mayor,YES
C14-2008-0171,CM_1,YES
C14-2008-0171,CM_2,YES
C14-2008-0171,CM_3,NO
C14-2008-0171,CM_4,YES
C14-2008-0171,CM_5,YES
C14-2008-0171,CM_6,YES
C14-2008-0171,CM_7,YES
C14-2008-0171,CM_8,YES
C14-2008-0171,CM_9,NO
C14-2008-0171,CM_10,YES
C14-2008-0175,Mayor,YES
C14-2008-0175,CM_1,YES
C14-2008-0175,CM_2,YES
C14-2008-0175,CM_3,YES
C14-2008-0175,CM_4,YES
C14-2008-0175,CM_5,YES
C14-2008-0175,CM_6,YES
C14-2008-0175,CM_7,YES
C14-2008-0175,CM_8,NO
C14-2008-0175,CM_9,YES
C14-2008-0175,CM_10,NO
C14-2008-0184,Mayor,YES
C14-2008-0184,CM_1,YES
C14-2008-0184,CM_2,YES
C14-2008-0184,CM_3,YES
C14-2008-0184,CM_4,NO
C14-2008-0184,CM_5,YES
C14-2008-0184,CM_6,YES
C14-2008-0184,CM_7,YES
C14-2008-0184,CM_8,NO
C14-2008-0184,CM_9,YES
C14-2008-0184,CM_10,YES
C14-2008-0223,Mayor,YES
C14-2008-0223,CM_1,YES
C14-2008-0223,CM_2,YES
C14-2008-0223,CM_3,YES
C14-2008-0223,CM_4,NO
C14-2008-0223,CM_5,YES
C14-2008-0223,CM_6,YES
C14-2008-0223,CM_7,YES
C14-2008-0223,CM_8,YES
C14-2008-0223,CM_9,YES
C14-2008-0223,CM_10,YES
C14-2008-0247,Mayor,NO
C14-2008-0247,CM_1,YES
C14-2008-0247,CM_2,YES
C14-2008-0247,CM_3,YES
C14-2008-0247,CM_4,YES
C14-2008-0247,CM_5,YES
C14-2008-0247,CM_6,YES
C14-2008-0247,CM_7,YES
C14-2008-0247,CM_8,YES
C14-2008-0247,CM_9,YES
C14-2008-0247,CM_10,YES
C14-2008-0016,Mayor,YES
C14-2008-0016,CM_1,YES
C14-2008-0016,CM_2,YES
C14-2008-0016,CM_3,YES
C14-2008-0016,CM_4,YES
C14-2008-0016,CM_5,YES
C14-2008-0016,CM_6,YES
C14-2008-0016,CM_7,YES
C14-2008-0016,CM_8,YES
C14-2008-0016,CM_9,YES
C14-2008-0016,CM_10,YES
C14-2009-0028,Mayor,YES
C14-2009-0028,CM_1,YES
C14-2009-0028,CM_2,YES
C14-2009-0028,CM_3,YES
C14-2009-0028,CM_4,YES
C14-2009-0028,CM_5,NO
C14-2009-0028,CM_6,YES
C14-2009-0028,CM_7,YES
C14-2009-0028,CM_8,YES
C14-2009-0028,CM_9,YES
C14-2009-0028,CM_10,YES
C14-2009-0031,Mayor,YES
C14-2009-0031,CM_1,YES
C14-2009-0031,CM_2,YES
C14-2009-0031,CM_3,YES
C14-2009-0031,CM_4,YES
C14-2009-0031,CM_5,NO
C14-2009-0031,CM_6,YES
C14-2009-0031,CM_7,YES
C14-2009-0031,CM_8,NO
C14-2009-0031,CM_9,YES
C14-2009-0031,CM_10,NO
C14-2009-0032,Mayor,YES
C14-2009-0032,CM_1,YES
C14-2009-0032,CM_2,YES
C14-2009-0032,CM_3,YES
C14-2009-0032,CM_4,YES
C14-2009-0032,CM_5,YES
C14-2009-0032,CM_6,YES
C14-2009-0032,CM_7,YES
C14-2009-0032,CM_8,NO
C14-2009-0032,CM_9,YES
C14-2009-0032,CM_10,YES
C14-2009-0059,Mayor,YES
C14-2009-0059,CM_1,YES
C14-2009-0059,CM_2,YES
C14-2009-0059,CM_3,YES
C14-2009-0059,CM_4,YES
C14-2009-0059,CM_5,NO
C14-2009-0059,CM_6,NO
C14-2009-0059,CM_7,YES
C14-2009-0059,CM_8,YES
C14-2009-0059,CM_9,YES
C14-2009-0059,CM_10,YES
C14-2009-0077,Mayor,NO
C14-2009-0077,CM_1,YES
C14-2009-0077,CM_2,YES
C14-2009-0077,CM_3,YES
C14-2009-0077,CM_4,YES
C14-2009-0077,CM_5,YES
C14-2009-0077,CM_6,YES
C14-2009-0077,CM_7,YES
C14-2009-0077,CM_8,YES
C14-2009-0077,CM_9,NO
C14-2009-0077,CM_10,YES
C14-2009-0102,Mayor,YES
C14-2009-0102,CM_1,NO
C14-2009-0102,CM_2,YES
C14-2009-0102,CM_3,YES
C14-2009-0102,CM_4,YES
C14-2009-0102,CM_5,YES
C14-2009-0102,CM_6,YES
C14-2009-0102,CM_7,YES
C14-2009-0102,CM_8,YES
C14-2009-0102,CM_9,YES
C14-2009-0102,CM_10,YES
C14-2009-0106,Mayor,YES
C14-2009-0106,CM_1,YES
C14-2009-0106,CM_2,YES
C14-2009-0106,CM_3,YES
C14-2009-0106,CM_4,YES
C14-2009-0106,CM_5,YES
C14-2009-0106,CM_6,YES
C14-2009-0106,CM_7,YES
C14-2009-0106,CM_8,YES
C14-2009-0106,CM_9,YES
C14-2009-0106,CM_10,YES
C14-2009-0168,Mayor,YES
C14-2009-0168,CM_1,YES
C14-2009-0168,CM_2,YES
C14-2009-0168,CM_3,YES
C14-2009-0168,CM_4,YES
C14-2009-0168,CM_5,YES
C14-2009-0168,CM_6,YES
C14-2009-0168,CM_7,YES
C14-2009-0168,CM_8,YES
C14-2009-0168,CM_9,YES
C14-2009-0168,CM_10,NO
C14-2009-0168,Mayor,YES
C14-2009-0168,CM_1,YES
C14-2009-0168,CM_2,NO
C14-2009-0168,CM_3,YES
C14-2009-0168,CM_4,YES
C14-2009-0168,CM_5,YES
C14-2009-0168,CM_6,YES
C14-2009-0168,CM_7,NO
C14-2009-0168,CM_8,YES
C14-2009-0168,CM_9,NO
C14-2009-0168,CM_10,YES
C14-2009-0099,Mayor,YES
C14-2009-0099,CM_1,YES
C14-2009-0099,CM_2,YES
C14-2009-0099,CM_3,YES
C14-2009-0099,CM_4,YES
C14-2009-0099,CM_5,YES
C14-2009-0099,CM_6,YES
C14-2009-0099,CM_7,YES
C14-2009-0099,CM_8,YES
C14-2009-0099,CM_9,YES
C14-2009-0099,CM_10,YES
C14-2010-0048,Mayor,YES
C14-2010-0048,CM_1,YES
C14-2010-0048,CM_2,YES
C14-2010-0048,CM_3,YES
C14-2010-0048,CM_4,NO
C14-2010-0048,CM_5,YES
C14-2010-0048,CM_6,NO
C14-2010-0048,CM_7,YES
C14-2010-0048,CM_8,YES
C14-2010-0048,CM_9,NO
C14-2010-0048,CM_10,YES
C14-2010-0049,Mayor,YES
C14-2010-0049,CM_1,YES
C14-2010-0049,CM_2,YES
C14-2010-0049,CM_3,YES
C14-2010-0049,CM_4,YES
C14-2010-0049,CM_5,YES
C14-2010-0049,CM_6,YES
C14-2010-0049,CM_7,YES
C14-2010-0049,CM_8,YES
C14-2010-0049,CM_9,YES
C14-2010-0049,CM_10,YES
C14-2010-0052,Mayor,YES
C14-2010-0052,CM_1,YES
C14-2010-0052,CM_2,YES
C14-2010-0052,CM_3,YES
C14-2010-0052,CM_4,YES
C14-2010-0052,CM_5,YES
C14-2010-0052,CM_6,YES
C14-2010-0052,CM_7,YES
C14-2010-0052,CM_8,YES
C14-2010-0052,CM_9,YES
C14-2010-0052,CM_10,NO
C14-2010-0052,Mayor,YES
C14-2010-0052,CM_1,YES
C14-2010-0052,CM_2,YES
C14-2010-0052,CM_3,YES
C14-2010-0052,CM_4,YES
C14-2010-0052,CM_5,YES
C14-2010-0052,CM_6,YES
C14-2010-0052,CM_7,YES
C14-2010-0052,CM_8,YES
C14-2010-0052,CM_9,NO
C14-2010-0052,CM_10,YES
C14-2010-0052,Mayor,NO
C14-2010-0052,CM_1,YES
C14-2010-0052,CM_2,YES
C14-2010-0052,CM_3,YES
C14-2010-0052,CM_4,NO
C14-2010-0052,CM_5,YES
C14-2010-0052,CM_6,YES
C14-2010-0052,CM_7,YES
C14-2010-0052,CM_8,YES
C14-2010-0052,CM_9,YES
C14-2010-0052,CM_10,YES
C14-2010-0052,Mayor,YES
C14-2010-0052,CM_1,YES
C14-2010-0052,CM_2,YES
C14-2010-0052,CM_3,NO
C14-2010-0052,CM_4,YES
C14-2010-0052,CM_5,YES
C14-2010-0052,CM_6,NO
C14-2010-0052,CM_7,YES
C14-2010-0052,CM_8,YES
C14-2010-0052,CM_9,YES
C14-2010-0052,CM_10,YES
C14-2010-0051,Mayor,YES
C14-2010-0051,CM_1,YES
C14-2010-0051,CM_2,YES
C14-2010-0051,CM_3,YES
C14-2010-0051,CM_4,YES
C14-2010-0051,CM_5,YES
C14-2010-0051,CM_6,YES
C14-2010-0051,CM_7,YES
C14-2010-0051,CM_8,YES
C14-2010-0051,CM_9,YES
C14-2010-0051,CM_10,YES
C14-2010-0017,Mayor,YES
C14-2010-0017,CM_1,YES
C14-2010-0017,CM_2,NO
C14-2010-0017,CM_3,YES
C14-2010-0017,CM_4,YES
C14-2010-0017,CM_5,NO
C14-2010-0017,CM_6,YES
C14-2010-0017,CM_7,YES
C14-2010-0017,CM_8,YES
C14-2010-0017,CM_9,NO
C14-2010-0017,CM_10,YES
C14-2010-0017,Mayor,YES
C14-2010-0017,CM_1,YES
C14-2010-0017,CM_2,YES
C14-2010-0017,CM_3,YES
C14-2010-0017,CM_4,NO
C14-2010-0017,CM_5,YES
C14-2010-0017,CM_6,YES
C14-2010-0017,CM_7,YES
C14-2010-0017,CM_8,YES
C14-2010-0017,CM_9,YES
C14-2010-0017,CM_10,YES
C14-2010-0025,Mayor,YES
C14-2010-0025,CM_1,YES
C14-2010-0025,CM_2,YES
C14-2010-0025,CM_3,YES
C14-2010-0025,CM_4,YES
C14-2010-0025,CM_5,YES
C14-2010-0025,CM_6,YES
C14-2010-0025,CM_7,YES
C14-2010-0025,CM_8,YES
C14-2010-0025,CM_9,YES
C14-2010-0025,CM_10,YES
C14-2010-0034,Mayor,YES
C14-2010-0034,CM_1,YES
C14-2010-0034,CM_2,YES
C14-2010-0034,CM_3,YES
C14-2010-0034,CM_4,NO
C14-2010-0034,CM_5,YES
C14-2010-0034,CM_6,YES
C14-2010-0034,CM_7,YES
C14-2010-0034,CM_8,YES
C14-2010-0034,CM_9,YES
C14-2010-0034,CM_10,NO
C14-2010-0034,Mayor,YES
C14-2010-0034,CM_1,NO
C14-2010-0034,CM_2,NO
C14-2010-0034,CM_3,YES
C14-2010-0034,CM_4,YES
C14-2010-0034,CM_5,YES
C14-2010-0034,CM_6,YES
C14-2010-0034,CM_7,YES
C14-2010-0034,CM_8,NO
C14-2010-0034,CM_9,YES
C14-2010-0034,CM_10,YES
C14-2010-0034,Mayor,NO
C14-2010-0034,CM_1,YES
C14-2010-0034,CM_2,YES
C14-2010-0034,CM_3,YES
C14-2010-0034,CM_4,YES
C14-2010-0034,CM_5,YES
C14-2010-0034,CM_6,YES
C14-2010-0034,CM_7,YES
C14-2010-0034,CM_8,YES
C14-2010-0034,CM_9,NO
C14-2010-0034,CM_10,YES
C14-2010-0034,Mayor,YES
C14-2010-0034,CM_1,YES
C14-2010-0034,CM_2,YES
C14-2010-0034,CM_3,YES
C14-2010-0034,CM_4,YES
C14-2010-0034,CM_5,YES
C14-2010-0034,CM_6,YES
C14-2010-0034,CM_7,YES
C14-2010-0034,CM_8,NO
C14-2010-0034,CM_9,NO
C14-2010-0034,CM_10,NO
C14-2010-0034,Mayor,YES
C14-2010-0034,CM_1,YES
C14-2010-0034,CM_2,NO
C14-2010-0034,CM_3,YES
C14-2010-0034,CM_4,YES
C14-2010-0034,CM_5,NO
C14-2010-0034,CM_6,YES
C14-2010-0034,CM_7,YES
C14-2010-0034,CM_8,YES
C14-2010-0034,CM_9,NO
C14-2010-0034,CM_10,YES
C14-2010-0039,Mayor,YES
C14-2010-0039,CM_1,YES
C14-2010-0039,CM_2,YES
C14-2010-0039,CM_3,YES
C14-2010-0039,CM_4,YES
C14-2010-0039,CM_5,YES
C14-2010-0039,CM_6,YES
C14-2010-0039,CM_7,YES
C14-2010-0039,CM_8,NO
C14-2010-0039,CM_9,YES
C14-2010-0039,CM_10,YES
C14-2010-0045,Mayor,YES
C14-2010-0045,CM_1,YES
C14-2010-0045,CM_2,YES
C14-2010-0045,CM_3,YES
C14-2010-0045,CM_4,YES
C14-2010-0045,CM_5,YES
C14-2010-0045,CM_6,YES
C14-2010-0045,CM_7,YES
C14-2010-0045,CM_8,YES
C14-2010-0045,CM_9,YES
C14-2010-0045,CM_10,YES
C14-2010-0077,Mayor,YES
C14-2010-0077,CM_1,NO
C14-2010-0077,CM_2,YES
C14-2010-0077,CM_3,YES
C14-2010-0077,CM_4,YES
C14-2010-0077,CM_5,YES
C14-2010-0077,CM_6,NO
C14-2010-0077,CM_7,YES
C14-2010-0077,CM_8,YES
C14-2010-0077,CM_9,YES
C14-2010-0077,CM_10,YES
C14-2010-0084,Mayor,YES
C14-2010-0084,CM_1,YES
C14-2010-0084,CM_2,YES
C14-2010-0084,CM_3,YES
C14-2010-0084,CM_4,YES
C14-2010-0084,CM_5,YES
C14-2010-0084,CM_6,YES
C14-2010-0084,CM_7,YES
C14-2010-0084,CM_8,YES
C14-2010-0084,CM_9,YES
C14-2010-0084,CM_10,YES
C14-2010-0084,Mayor,YES
C14-2010-0084,CM_1,YES
C14-2010-0084,CM_2,YES
C14-2010-0084,CM_3,YES
C14-2010-0084,CM_4,YES
C14-2010-0084,CM_5,YES
C14-2010-0084,CM_6,YES
C14-2010-0084,CM_7,YES
C14-2010-0084,CM_8,YES
C14-2010-0084,CM_9,YES
C14-2010-0084,CM_10,YES
C14-2010-0101,Mayor,YES
C14-2010-0101,CM_1,YES
C14-2010-0101,CM_2,YES
C14-2010-0101,CM_3,YES
C14-2010-0101,CM_4,YES
C14-2010-0101,CM_5,NO
C14-2010-0101,CM_6,YES
C14-2010-0101,CM_7,NO
C14-2010-0101,CM_8,YES
C14-2010-0101,CM_9,YES
C14-2010-0101,CM_10,YES
C14-2010-0101,Mayor,NO
C14-2010-0101,CM_1,YES
C14-2010-0101,CM_2,YES
C14-2010-0101,CM_3,YES
C14-2010-0101,CM_4,YES
C14-2010-0101,CM_5,YES
C14-2010-0101,CM_6,YES
C14-2010-0101,CM_7,NO
C14-2010-0101,CM_8,YES
C14-2010-0101,CM_9,YES
C14-2010-0101,CM_10,YES
C14-2010-0101,Mayor,YES
C14-2010-0101,CM_1,YES
C14-2010-0101,CM_2,YES
C14-2010-0101,CM_3,YES
C14-2010-0101,CM_4,YES
C14-2010-0101,CM_5,YES
C14-2010-0101,CM_6,YES
C14-2010-0101,CM_7,YES
C14-2010-0101,CM_8,YES
C14-2010-0101,CM_9,NO
C14-2010-0101,CM_10,YES
C14-2010-0101,Mayor,YES
C14-2010-0101,CM_1,NO
C14-2010-0101,CM_2,YES
C14-2010-0101,CM_3,YES
C14-2010-0101,CM_4,YES
C14-2010-0101,CM_5,YES
C14-2010-0101,CM_6,YES
C14-2010-0101,CM_7,YES
C14-2010-0101,CM_8,NO
C14-2010-0101,CM_9,YES
C14-2010-0101,CM_10,YES
C14-2010-0101,Mayor,YES
C14-2010-0101,CM_1,YES
C14-2010-0101,CM_2,YES
C14-2010-0101,CM_3,NO
C14-2010-0101,CM_4,YES
C14-2010-0101,CM_5,YES
C14-2010-0101,CM_6,YES
C14-2010-0101,CM_7,YES
C14-2010-0101,CM_8,YES
C14-2010-0101,CM_9,YES
C14-2010-0101,CM_10,YES
C14-2010-0113,Mayor,YES
C14-2010-0113,CM_1,YES
C14-2010-0113,CM_2,YES
C14-2010-0113,CM_3,YES
C14-2010-0113,CM_4,YES
C14-2010-0113,CM_5,YES
C14-2010-0113,CM_6,YES
C14-2010-0113,CM_7,YES
C14-2010-0113,CM_8,YES
C14-2010-0113,CM_9,YES
C14-2010-0113,CM_10,YES
C14-2010-0113,Mayor,YES
C14-2010-0113,CM_1,YES
C14-2010-0113,CM_2,YES
C14-2010-0113,CM_3,YES
C14-2010-0113,CM_4,YES
C14-2010-0113,CM_5,YES
C14-2010-0113,CM_6,YES
C14-2010-0113,CM_7,YES
C14-2010-0113,CM_8,YES
C14-2010-0113,CM_9,YES
C14-2010-0113,CM_10,YES
C14-2010-0122,Mayor,YES
C14-2010-0122,CM_1,YES
C14-2010-0122,CM_2,YES
C14-2010-0122,CM_3,YES
C14-2010-0122,CM_4,YES
C14-2010-0122,CM_5,YES
C14-2010-0122,CM_6,YES
C14-2010-0122,CM_7,NO
C14-2010-0122,CM_8,YES
C14-2010-0122,CM_9,YES
C14-2010-0122,CM_10,YES
C14-2010-0122,Mayor,YES
C14-2010-0122,CM_1,YES
C14-2010-0122,CM_2,NO
C14-2010-0122,CM_3,YES
C14-2010-0122,CM_4,YES
C14-2010-0122,CM_5,NO
C14-2010-0122,CM_6,NO
C14-2010-0122,CM_7,YES
C14-2010-0122,CM_8,YES
C14-2010-0122,CM_9,YES
C14-2010-0122,CM_10,YES
C14-2010-0143,Mayor,YES
C14-2010-0143,CM_1,YES
C14-2010-0143,CM_2,YES
C14-2010-0143,CM_3,YES
C14-2010-0143,CM_4,YES
C14-2010-0143,CM_5,YES
C14-2010-0143,CM_6,YES
C14-2010-0143,CM_7,YES
C14-2010-0143,CM_8,YES
C14-2010-0143,CM_9,YES
C14-2010-0143,CM_10,YES
C14-2010-0143,Mayor,YES
C14-2010-0143,CM_1,YES
C14-2010-0143,CM_2,YES
C14-2010-0143,CM_3,YES
C14-2010-0143,CM_4,YES
C14-2010-0143,CM_5,YES
C14-2010-0143,CM_6,YES
C14-2010-0143,CM_7,YES
C14-2010-0143,CM_8,YES
C14-2010-0143,CM_9,YES
C14-2010-0143,CM_10,YES
C14-2010-0191.SH,Mayor,YES
C14-2010-0191.SH,CM_1,YES
C14-2010-0191.SH,CM_2,YES
C14-2010-0191.SH,CM_3,YES
C14-2010-0191.SH,CM_4,YES
C14-2010-0191.SH,CM_5,YES
C14-2010-0191.SH,CM_6,YES
C14-2010-0191.SH,CM_7,YES
C14-2010-0191.SH,CM_8,YES
C14-2010-0191.SH,CM_9,YES
C14-2010-0191.SH,CM_10,YES
C14-2010-0199,Mayor,YES
C14-2010-0199,CM_1,YES
C14-2010-0199,CM_2,YES
C14-2010-0199,CM_3,YES
C14-2010-0199,CM_4,YES
C14-2010-0199,CM_5,YES
C14-2010-0199,CM_6,NO
C14-2010-0199,CM_7,NO
C14-2010-0199,CM_8,YES
C14-2010-0199,CM_9,NO
C14-2010-0199,CM_10,YES
C14-2010-0199,Mayor,YES
C14-2010-0199,CM_1,YES
C14-2010-0199,CM_2,YES
C14-2010-0199,CM_3,YES
C14-2010-0199,CM_4,YES
C14-2010-0199,CM_5,YES
C14-2010-0199,CM_6,YES
C14-2010-0199,CM_7,YES
C14-2010-0199,CM_8,YES
C14-2010-0199,CM_9,NO
C14-2010-0199,CM_10,YES
C14-2010-0199,Mayor,YES
C14-2010-0199,CM_1,NO
C14-2010-0199,CM_2,YES
C14-2010-0199,CM_3,YES
C14-2010-0199,CM_4,YES
C14-2010-0199,CM_5,YES
C14-2010-0199,CM_6,YES
C14-2010-0199,CM_7,YES
C14-2010-0199,CM_8,YES
C14-2010-0199,CM_9,YES
C14-2010-0199,CM_10,YES
C14-2010-0199,Mayor,YES
C14-2010-0199,CM_1,NO
C14-2010-0199,CM_2,YES
C14-2010-0199,CM_3,YES
C14-2010-0199,CM_4,YES
C14-2010-0199,CM_5,YES
C14-2010-0199,CM_6,YES
C14-2010-0199,CM_7,NO
C14-2010-0199,CM_8,YES
C14-2010-0199,CM_9,YES
C14-2010-0199,CM_10,YES
C14-2010-0204,Mayor,YES
C14-2010-0204,CM_1,YES
C14-2010-0204,CM_2,YES
C14-2010-0204,CM_3,NO
C14-2010-0204,CM_4,YES
C14-2010-0204,CM_5,YES
C14-2010-0204,CM_6,YES
C14-2010-0204,CM_7,YES
C14-2010-0204,CM_8,YES
C14-2010-0204,CM_9,YES
C14-2010-0204,CM_10,YES
C14-2010-0206,Mayor,YES
C14-2010-0206,CM_1,YES
C14-2010-0206,CM_2,YES
C14-2010-0206,CM_3,NO
C14-2010-0206,CM_4,YES
C14-2010-0206,CM_5,YES
C14-2010-0206,CM_6,YES
C14-2010-0206,CM_7,NO
C14-2010-0206,CM_8,YES
C14-2010-0206,CM_9,YES
C14-2010-0206,CM_10,YES
C14-2010-0206,Mayor,YES
C14-2010-0206,CM_1,YES
C14-2010-0206,CM_2,YES
