year,meeting_title,meeting_url
2005,"August 18, 2005Austin City Council Regular Meeting",https://www.austintexas.gov/council/2005/20050818-reg
2005,"August 4, 2005Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2005/20050804-ahfc
2005,"August 4, 2005Austin City Council Regular Meeting",https://www.austintexas.gov/council/2005/20050804-reg
2005,"August 4, 2005Tax Increment Financing (TIF #15) Board of Directors Meeting",https://www.austintexas.gov/council/2005/20050804-tif
2005,"July 28, 2005Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2005/20050728-ahfc
2005,"July 28, 2005Austin City Council Regular Meeting",https://www.austintexas.gov/council/2005/20050728-reg
2005,"June 23, 2005Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2005/20050623-ahfc
2005,"June 23, 2005Austin City Council Regular Meeting",https://www.austintexas.gov/council/2005/20050623-reg
2005,"June 20, 2005Austin City Council Special Called Canvassing Meeting",https://www.austintexas.gov/council/2005/20050620-spec
2005,"June 20, 2005Austin City Council Special Called Meeting (Oaths of Office)",https://www.austintexas.gov/council/2005/20050620-spec1
2005,"June 9, 2005Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2005/20050609-ahfc
2005,"June 9, 2005Austin City Council Regular Meeting",https://www.austintexas.gov/council/2005/20050609-reg
2005,"May 26, 2005Austin City Council Regular Meeting",https://www.austintexas.gov/council/2005/20050526-reg
2005,"May 19, 2005Austin City Council Regular Meeting",https://www.austintexas.gov/council/2005/20050519-reg
2005,"May 17, 2005Austin City Council Special Called Meeting",https://www.austintexas.gov/council/2005/20050517-spec
2005,"May 12, 2005Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2005/20050512-ahfc
2005,"May 12, 2005Austin City Council Regular Meeting",https://www.austintexas.gov/council/2005/20050512-reg
2005,"April 28, 2005Austin City Council Regular Meeting",https://www.austintexas.gov/council/2005/20050428-reg
2005,"April 14, 2005Austin City Council Regular Meeting",https://www.austintexas.gov/council/2005/20050414-reg
2005,"April 7, 2005Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2005/20050407-ahfc
2005,"April 7, 2005Austin City Council Regular Meeting",https://www.austintexas.gov/council/2005/20050407-reg
2005,"March 24, 2005Austin City Council Regular Meeting",https://www.austintexas.gov/council/2005/20050324-reg
2005,"March 10, 2005Austin City Council Regular Meeting",https://www.austintexas.gov/council/2005/20050310-reg
2005,"March 3, 2005Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2005/20050303-ahfc
2005,"March 3, 2005Austin City Council Regular Meeting",https://www.austintexas.gov/council/2005/20050303-reg
2005,"February 17, 2005Austin City Council Regular Meeting",https://www.austintexas.gov/council/2005/20050217-reg
2005,"February 10, 2005Austin City Council Regular Meeting",https://www.austintexas.gov/council/2005/20050210-reg
2005,"February 3, 2005Austin City Council Regular Meeting",https://www.austintexas.gov/council/2005/20050203-reg
2005,"January 27, 2005Austin City Council Regular Meeting",https://www.austintexas.gov/council/2005/20050127-reg
2005,"January 13, 2005Austin City Council Regular Meeting",https://www.austintexas.gov/council/2005/20050113-reg
2006,"December 14, 2006Austin City Council Regular Meeting",https://www.austintexas.gov/council/2006/20061214-reg
2006,"December 7, 2006Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2006/20061207-ahfc
2006,"December 7, 2006Austin City Council Regular Meeting",https://www.austintexas.gov/council/2006/20061207-reg
2006,"November 30, 2006Austin City Council Regular Meeting",https://www.austintexas.gov/council/2006/20061130-reg
2006,"November 16, 2006Austin City Council Regular Meeting",https://www.austintexas.gov/council/2006/20061116-reg
2006,"November 10, 2006Austin City Council Special Called Meeting",https://www.austintexas.gov/council/2006/20061110-spec
2006,"November 9, 2006Austin City Council Special Called Meeting",https://www.austintexas.gov/council/2006/20061109-spec
2006,"November 2, 2006Austin City Council Regular Meeting",https://www.austintexas.gov/council/2006/20061102-reg
2006,"October 30, 2006Austin City Council Special Called Annexation Meeting",https://www.austintexas.gov/council/2006/20061030-spec
2006,"October 19, 2006Austin City Council Regular Meeting",https://www.austintexas.gov/council/2006/20061019-reg
2006,"October 5, 2006Austin City Council Regular Meeting",https://www.austintexas.gov/council/2006/20061005-reg
2006,"October 3, 2006Austin City Council Special Called Annexation Meeting",https://www.austintexas.gov/council/2006/20061003-spec
2006,"September 28, 2006Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2006/20060928-ahfc
2006,"September 28, 2006Austin City Council Regular Meeting",https://www.austintexas.gov/council/2006/20060928-reg
2006,"September 11, 2006Austin Housing Finance Corporation (AHFC) Board of Directors Special Called Budget Meeting",https://www.austintexas.gov/council/2006/20060911-ahfc
2006,"September 11, 2006Mueller Local Government Corporation (MLGC) Board of Directors Special Called Budget Meeting",https://www.austintexas.gov/council/2006/20060911-mlgc
2006,"September 11, 2006Austin City Council Budget Meeting",https://www.austintexas.gov/council/2006/20060911-reg
2006,"August 31, 2006Austin City Council Regular Meeting",https://www.austintexas.gov/council/2006/20060831-reg
2006,"August 29, 2006Austin City Council Special Called Annexation Meeting",https://www.austintexas.gov/council/2006/20060829-spec
2006,"August 24, 2006Mueller Local Government Corporation (MLGC) Board of Directors MLGC Meeting",https://www.austintexas.gov/council/2006/20060824-mlgc
2006,"August 24, 2006Austin City Council Regular Meeting",https://www.austintexas.gov/council/2006/20060824-reg
2006,"August 14, 2006Austin City Council Special Called Annexation Meeting",https://www.austintexas.gov/council/2006/20060814-spec
2006,"August 10, 2006Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2006/20060810-ahfc
2006,"August 10, 2006Austin City Council Regular Meeting",https://www.austintexas.gov/council/2006/20060810-reg
2006,"August 9, 2006Austin City Council Special Called Meeting",https://www.austintexas.gov/council/2006/20060809-spec
2006,"July 27, 2006Austin City Council Regular Meeting",https://www.austintexas.gov/council/2006/20060727-reg
2006,"July 19, 2006Austin City Council Special Called Meeting",https://www.austintexas.gov/council/2006/20060719-spec
2006,"June 22, 2006Austin City Council Regular Meeting",https://www.austintexas.gov/council/2006/20060622-reg
2006,"June 20, 2006Austin City Council Special Called Meeting",https://www.austintexas.gov/council/2006/20060620-spec
2006,"June 8, 2006Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2006/20060608-ahfc
2006,"June 8, 2006Austin City Council Regular Meeting",https://www.austintexas.gov/council/2006/20060608-reg
2006,"May 25, 2006Austin City Council Regular Meeting",https://www.austintexas.gov/council/2006/20060525-reg
2006,"May 23, 2006Austin City Council Special Called Meeting",https://www.austintexas.gov/council/2006/20060523-spec
2006,"May 18, 2006Austin City Council Regular Meeting",https://www.austintexas.gov/council/2006/20060518-reg
2006,"May 4, 2006Austin City Council Regular Meeting",https://www.austintexas.gov/council/2006/20060504-reg
2006,"April 27, 2006Mueller Local Government Corporation (MLGC) Board of Directors MLGC Meeting",https://www.austintexas.gov/council/2006/20060427-mlgc
2006,"April 27, 2006Austin City Council Regular Meeting",https://www.austintexas.gov/council/2006/20060427-reg
2006,"April 20, 2006Austin City Council Regular Meeting",https://www.austintexas.gov/council/2006/20060420-reg
2006,"April 7, 2006Austin City Council Special Called Meeting",https://www.austintexas.gov/council/2006/20060407-spec
2006,"April 6, 2006Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2006/20060406-ahfc
2006,"April 6, 2006Austin City Council Regular Meeting",https://www.austintexas.gov/council/2006/20060406-reg
2006,"April 3, 2006Austin City Council Special Called Meeting",https://www.austintexas.gov/council/2006/20060403-spec
2006,"March 23, 2006Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2006/20060323-ahfc
2006,"March 23, 2006Austin City Council Regular Meeting",https://www.austintexas.gov/council/2006/20060323-reg
2006,"March 9, 2006Austin City Council Regular Meeting",https://www.austintexas.gov/council/2006/20060309-reg
2006,"March 2, 2006Austin City Council Regular Meeting",https://www.austintexas.gov/council/2006/20060302-reg
2006,"February 16, 2006Austin City Council Regular Meeting",https://www.austintexas.gov/council/2006/20060216-reg
2006,"February 9, 2006Austin City Council Regular Meeting",https://www.austintexas.gov/council/2006/20060209-reg
2006,"February 2, 2006Austin City Council Regular Meeting",https://www.austintexas.gov/council/2006/20060202-reg
2006,"January 26, 2006Austin City Council Regular Meeting",https://www.austintexas.gov/council/2006/20060126-reg
2006,"January 12, 2006Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2006/20060112-ahfc
2006,"January 12, 2006Austin City Council Regular Meeting",https://www.austintexas.gov/council/2006/20060112-reg
2007,"December 13, 2007Austin City Council Regular Meeting",https://www.austintexas.gov/council/2007/20071213-reg
2007,"December 13, 2007Austin City Council Special Called Meeting",https://www.austintexas.gov/council/2007/20071213-spec
2007,"December 6, 2007Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2007/20071206-ahfc
2007,"December 6, 2007Austin City Council Regular Meeting",https://www.austintexas.gov/council/2007/20071206-reg
2007,"November 29, 2007Austin City Council Regular Meeting",https://www.austintexas.gov/council/2007/20071129-reg
2007,"November 8, 2007Austin City Council Regular Meeting",https://www.austintexas.gov/council/2007/20071108-reg
2007,"November 1, 2007Austin City Council Regular Meeting",https://www.austintexas.gov/council/2007/20071101-reg
2007,"October 18, 2007Austin City Council Regular Meeting",https://www.austintexas.gov/council/2007/20071018-reg
2007,"October 11, 2007Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2007/20071011-ahfc
2007,"October 11, 2007Austin City Council Regular Meeting",https://www.austintexas.gov/council/2007/20071011-reg
2007,"September 27, 2007Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2007/20070927-ahfc
2007,"September 27, 2007Austin City Council Regular Meeting",https://www.austintexas.gov/council/2007/20070927-reg
2007,"September 12, 2007Austin Housing Finance Corporation (AHFC) Board of Directors Special Called Budget Meeting",https://www.austintexas.gov/council/2007/20070912-ahfc
2007,"September 12, 2007Mueller Local Government Corporation (MLGC) Board of Directors Special Called Budget Meeting",https://www.austintexas.gov/council/2007/20070912-mlgc
2007,"September 12, 2007Austin City Council Budget Meeting",https://www.austintexas.gov/council/2007/20070912-reg
2007,"September 11, 2007Austin Housing Finance Corporation (AHFC) Board of Directors Special Called Budget Meeting",https://www.austintexas.gov/council/2007/20070911-ahfc
2007,"September 11, 2007Mueller Local Government Corporation (MLGC) Board of Directors Special Called Budget Meeting",https://www.austintexas.gov/council/2007/20070911-mlgc
2007,"September 11, 2007Austin City Council Budget Meeting",https://www.austintexas.gov/council/2007/20070911-reg
2007,"September 10, 2007Austin Housing Finance Corporation (AHFC) Board of Directors Special Called Budget Meeting",https://www.austintexas.gov/council/2007/20070910-ahfc
2007,"September 10, 2007Mueller Local Government Corporation (MLGC) Board of Directors Special Called Budget Meeting",https://www.austintexas.gov/council/2007/20070910-mlgc
2007,"September 10, 2007Austin City Council Budget Meeting",https://www.austintexas.gov/council/2007/20070910-reg
2007,"August 30, 2007Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2007/20070830-ahfc
2007,"August 30, 2007Austin City Council Regular Meeting",https://www.austintexas.gov/council/2007/20070830-reg
2007,"August 23, 2007Austin City Council Regular Meeting",https://www.austintexas.gov/council/2007/20070823-reg
2007,"August 9, 2007Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2007/20070809-ahfc
2007,"August 9, 2007Austin City Council Regular Meeting",https://www.austintexas.gov/council/2007/20070809-reg
2007,"July 26, 2007Austin City Council Regular Meeting",https://www.austintexas.gov/council/2007/20070726-reg
2007,"July 26, 2007Austin City Council Special Called Meeting",https://www.austintexas.gov/council/2007/20070726-spec
2007,"June 21, 2007Austin City Council Regular Meeting",https://www.austintexas.gov/council/2007/20070621-reg
2007,"June 7, 2007Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2007/20070607-ahfc
2007,"June 7, 2007Austin City Council Regular Meeting",https://www.austintexas.gov/council/2007/20070607-reg
2007,"May 24, 2007Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2007/20070524-ahfc
2007,"May 24, 2007Austin City Council Regular Meeting",https://www.austintexas.gov/council/2007/20070524-reg
2007,"May 17, 2007Austin City Council Regular Meeting",https://www.austintexas.gov/council/2007/20070517-reg
2007,"May 17, 2007Tax Increment Financing (TIF #15) Board of Directors Meeting",https://www.austintexas.gov/council/2007/20070517-tif
2007,"May 3, 2007Austin City Council Regular Meeting",https://www.austintexas.gov/council/2007/20070503-reg
2007,"April 19, 2007Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2007/20070419-ahfc
2007,"April 19, 2007Austin City Council Regular Meeting",https://www.austintexas.gov/council/2007/20070419-reg
2007,"April 12, 2007Austin City Council Regular Meeting",https://www.austintexas.gov/council/2007/20070412-reg
2007,"April 5, 2007Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2007/20070405-ahfc
2007,"April 5, 2007Austin City Council Regular Meeting",https://www.austintexas.gov/council/2007/20070405-reg
2007,"March 27, 2007Austin City Council Special Called Meeting",https://www.austintexas.gov/council/2007/20070327-spec
2007,"March 26, 2007Austin City Council Special Called Meeting",https://www.austintexas.gov/council/2007/20070326-spec
2007,"March 22, 2007Austin City Council Regular Meeting",https://www.austintexas.gov/council/2007/20070322-reg
2007,"March 8, 2007Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2007/20070308-ahfc
2007,"March 8, 2007Austin City Council Regular Meeting",https://www.austintexas.gov/council/2007/20070308-reg
2007,"March 1, 2007Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2007/20070301-ahfc
2007,"March 1, 2007Austin City Council Regular Meeting",https://www.austintexas.gov/council/2007/20070301-reg
2007,"February 23, 2007Austin City Council Special Called Meeting",https://www.austintexas.gov/council/2007/20070223-spec
2007,"February 15, 2007Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2007/20070215-ahfc
2007,"February 15, 2007Austin City Council Regular Meeting",https://www.austintexas.gov/council/2007/20070215-reg
2007,"February 1, 2007Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2007/20070201-ahfc
2007,"February 1, 2007Austin City Council Regular Meeting",https://www.austintexas.gov/council/2007/20070201-reg
2007,"January 25, 2007Austin City Council Regular Meeting",https://www.austintexas.gov/council/2007/20070125-reg
2007,"January 11, 2007Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2007/20070111-ahfc
2007,"January 11, 2007Austin City Council Regular Meeting",https://www.austintexas.gov/council/2007/20070111-reg
2008,"December 18, 2008Austin City Council Regular Meeting",https://www.austintexas.gov/council/2008/20081218-reg
2008,"December 11, 2008Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2008/20081211-ahfc
2008,"December 11, 2008Austin City Council Regular Meeting",https://www.austintexas.gov/council/2008/20081211-reg
2008,"November 20, 2008Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2008/20081120-ahfc
2008,"November 20, 2008Austin City Council Regular Meeting",https://www.austintexas.gov/council/2008/20081120-reg
2008,"November 17, 2008Austin City Council Special Called Canvassing Meeting",https://www.austintexas.gov/council/2008/20081117-spec
2008,"November 6, 2008Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2008/20081106-ahfc
2008,"November 6, 2008Austin City Council Regular Meeting",https://www.austintexas.gov/council/2008/20081106-reg
2008,"November 2, 2008Austin City Council Special Called Meeting",https://www.austintexas.gov/council/2008/20081102-spec
2008,"October 23, 2008Austin City Council Regular Meeting",https://www.austintexas.gov/council/2008/20081023-reg
2008,"October 20, 2008Austin City Council Special Called Annexation Meeting",https://www.austintexas.gov/council/2008/20081020-spec
2008,"October 16, 2008Austin City Council Regular Meeting",https://www.austintexas.gov/council/2008/20081016-reg
2008,"October 16, 2008Tax Increment Financing (TIF #15) Board of Directors Meeting",https://www.austintexas.gov/council/2008/20081016-tif
2008,"October 2, 2008Austin City Council Regular Meeting",https://www.austintexas.gov/council/2008/20081002-reg
2008,"September 25, 2008Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2008/20080925-ahfc
2008,"September 25, 2008Austin City Council Regular Meeting",https://www.austintexas.gov/council/2008/20080925-reg
2008,"September 10, 2008Austin Housing Finance Corporation (AHFC) Board of Directors Budget Meeting",https://www.austintexas.gov/council/2008/20080910-ahfc
2008,"September 10, 2008Mueller Local Government Corporation (MLGC) Board of Directors Budget Meeting",https://www.austintexas.gov/council/2008/20080910-mlgc
2008,"September 10, 2008Austin City Council Budget Meeting",https://www.austintexas.gov/council/2008/20080910-reg
2008,"September 9, 2008Austin Housing Finance Corporation (AHFC) Board of Directors Budget Meeting",https://www.austintexas.gov/council/2008/20080909-ahfc
2008,"September 9, 2008Mueller Local Government Corporation (MLGC) Board of Directors Budget Meeting",https://www.austintexas.gov/council/2008/20080909-mlgc
2008,"September 9, 2008Austin City Council Budget Meeting",https://www.austintexas.gov/council/2008/20080909-reg
2008,"September 8, 2008Austin Housing Finance Corporation (AHFC) Board of Directors Budget Meeting",https://www.austintexas.gov/council/2008/20080908-ahfc
2008,"September 8, 2008Mueller Local Government Corporation (MLGC) Board of Directors Budget Meeting",https://www.austintexas.gov/council/2008/20080908-mlgc
2008,"September 8, 2008Austin City Council Budget Meeting",https://www.austintexas.gov/council/2008/20080908-reg
2008,"August 28, 2008Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2008/20080828-ahfc
2008,"August 28, 2008Austin City Council Regular Meeting",https://www.austintexas.gov/council/2008/20080828-reg
2008,"August 27, 2008Austin City Council Special Called Meeting",https://www.austintexas.gov/council/2008/20080827-spec
2008,"August 25, 2008Austin City Council Special Called Meeting",https://www.austintexas.gov/council/2008/20080825-spec
2008,"August 21, 2008Austin City Council Regular Meeting",https://www.austintexas.gov/council/2008/20080821-reg
2008,"August 7, 2008Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2008/20080807-ahfc
2008,"August 7, 2008Austin City Council Regular Meeting",https://www.austintexas.gov/council/2008/20080807-reg
2008,"July 24, 2008Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2008/20080724-ahfc
2008,"July 24, 2008Austin City Council Regular Meeting",https://www.austintexas.gov/council/2008/20080724-reg
2008,"July 23, 2008Austin City Council Work Session",https://www.austintexas.gov/council/2008/20080723-wrk
2008,"June 25, 2008Austin City Council Special Called Canvassing Meeting",https://www.austintexas.gov/council/2008/20080625-spec
2008,"June 25, 2008Austin City Council Special Called Meeting (Oaths of Office)",https://www.austintexas.gov/council/2008/20080625-spec1
2008,"June 19, 2008Austin City Council Regular Meeting",https://www.austintexas.gov/council/2008/20080619-reg
2008,"June 18, 2008Austin City Council Regular Meeting",https://www.austintexas.gov/council/2008/20080618-reg
2008,"June 5, 2008Austin City Council Regular Meeting",https://www.austintexas.gov/council/2008/20080605-reg
2008,"June 4, 2008Austin City Council Work Session",https://www.austintexas.gov/council/2008/20080604-wrk
2008,"May 22, 2008Austin City Council Regular Meeting",https://www.austintexas.gov/council/2008/20080522-reg
2008,"May 21, 2008Austin City Council Special Called Meeting",https://www.austintexas.gov/council/2008/20080521-spec
2008,"May 21, 2008Austin City Council Work Session",https://www.austintexas.gov/council/2008/20080521-wrk
2008,"May 15, 2008Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2008/20080515-ahfc
2008,"May 15, 2008Austin City Council Regular Meeting",https://www.austintexas.gov/council/2008/20080515-reg
2008,"May 14, 2008Austin City Council Work Session",https://www.austintexas.gov/council/2008/20080514-wrk
2008,"May 8, 2008Austin City Council Regular Meeting",https://www.austintexas.gov/council/2008/20080508-reg
2008,"May 7, 2008Austin City Council Work Session",https://www.austintexas.gov/council/2008/20080507-wrk
2008,"April 24, 2008Austin City Council Regular Meeting",https://www.austintexas.gov/council/2008/20080424-reg
2008,"April 24, 2008Austin City Council Special Called Meeting",https://www.austintexas.gov/council/2008/20080424-spec
2008,"April 23, 2008Austin City Council Work Session",https://www.austintexas.gov/council/2008/20080423-wrk
2008,"April 10, 2008Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2008/20080410-ahfc
2008,"April 10, 2008Austin City Council Regular Meeting",https://www.austintexas.gov/council/2008/20080410-reg
2008,"March 27, 2008Austin City Council Regular Meeting",https://www.austintexas.gov/council/2008/20080327-reg
2008,"March 20, 2008Austin City Council Regular Meeting",https://www.austintexas.gov/council/2008/20080320-reg
2008,"March 20, 2008Tax Increment Financing (TIF #17) Board of Directors - Waller Creek Tunnel Project Meeting",https://www.austintexas.gov/council/2008/20080320-tif
2008,"March 6, 2008Austin City Council Regular Meeting",https://www.austintexas.gov/council/2008/20080306-reg
2008,"February 28, 2008Austin City Council Regular Meeting",https://www.austintexas.gov/council/2008/20080228-reg
2008,"February 14, 2008Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2008/20080214-ahfc
2008,"February 14, 2008Austin City Council Regular Meeting",https://www.austintexas.gov/council/2008/20080214-reg
2008,"January 31, 2008Austin City Council Regular Meeting",https://www.austintexas.gov/council/2008/20080131-reg
2008,"January 17, 2008Austin City Council Regular Meeting",https://www.austintexas.gov/council/2008/20080117-reg
2008,"January 16, 2008Austin City Council Special Called Meeting",https://www.austintexas.gov/council/2008/20080116-spec
2008,"January 10, 2008Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2008/20080110-ahfc
2008,"January 10, 2008Austin City Council Regular Meeting",https://www.austintexas.gov/council/2008/20080110-reg
2008,"January 9, 2008Austin City Council Special Called Meeting",https://www.austintexas.gov/council/2008/20080109-spec
2008,"January 4, 2008Austin City Council Special Called Meeting",https://www.austintexas.gov/council/2008/20080104-spec
2008,"January 3, 2008Austin City Council Special Called Meeting",https://www.austintexas.gov/council/2008/20080103-spec
2009,"December 17, 2009Austin City Council Regular Meeting",https://www.austintexas.gov/council/2009/20091217-reg
2009,"December 10, 2009Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2009/20091210-ahfc
2009,"December 10, 2009Austin City Council Regular Meeting",https://www.austintexas.gov/council/2009/20091210-reg
2009,"November 19, 2009Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2009/20091119-ahfc
2009,"November 19, 2009Austin City Council Regular Meeting",https://www.austintexas.gov/council/2009/20091119-reg
2009,"November 5, 2009Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2009/20091105-ahfc
2009,"November 5, 2009Austin City Council Regular Meeting",https://www.austintexas.gov/council/2009/20091105-reg
2009,"November 4, 2009Austin City Council Special Called Meeting",https://www.austintexas.gov/council/2009/20091104-spec
2009,"October 22, 2009Austin City Council Regular Meeting",https://www.austintexas.gov/council/2009/20091022-reg
2009,"October 15, 2009Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2009/20091015-ahfc
2009,"October 15, 2009Austin City Council Regular Meeting",https://www.austintexas.gov/council/2009/20091015-reg
2009,"October 14, 2009Austin City Council Special Called Meeting",https://www.austintexas.gov/council/2009/20091014-spec
2009,"October 1, 2009Austin City Council Regular Meeting",https://www.austintexas.gov/council/2009/20091001-reg
2009,"September 24, 2009Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2009/20090924-ahfc
2009,"September 24, 2009Austin City Council Regular Meeting",https://www.austintexas.gov/council/2009/20090924-reg
2009,"September 17, 2009Austin City Council Special Called Meeting",https://www.austintexas.gov/council/2009/20090917-spec
2009,"September 16, 2009Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2009/20090916-ahfc
2009,"September 16, 2009Mueller Local Government Corporation (MLGC) Board of Directors MLGC Meeting",https://www.austintexas.gov/council/2009/20090916-mlgc
2009,"September 16, 2009Austin City Council Budget Adoption Reading",https://www.austintexas.gov/council/2009/20090916-reg
2009,"September 15, 2009Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting",https://www.austintexas.gov/council/2009/20090915-ahfc
2009,"September 15, 2009Mueller Local Government Corporation (MLGC) Board of Directors MLGC Meeting",https://www.austintexas.gov/council/2009/20090915-mlgc
