CASE_NUMBER,EDIMS_URL,STAFF_RECOMMENDATION
C14-2023-0067,https://services.austintexas.gov/edims/document.cfm?idx=-5168624025155028399,Approval
C14-2011-0055,https://services.austintexas.gov/edims/document.cfm?idx=2728283137221105204,Disapproval
C14-98-0214,https://services.austintexas.gov/edims/document.cfm?idx=-7680033137867466839,Approval
C14-2019-0103,https://services.austintexas.gov/edims/document.cfm?idx=2114309905313655356,Approval
C14-2017-0057,https://services.austintexas.gov/edims/document.cfm?idx=-7275443188281088172,Approval
C14-2015-0155,https://services.austintexas.gov/edims/document.cfm?idx=1968086702292825815,Approval
C14-04-0075,https://services.austintexas.gov/edims/document.cfm?idx=3836182595982350395,Approval
C14-2018-0091,https://services.austintexas.gov/edims/document.cfm?idx=8775121498071585081,Approval
C14-2015-0061,https://services.austintexas.gov/edims/document.cfm?idx=3465895734000281798,Approval
C14-01-0135,https://services.austintexas.gov/edims/document.cfm?idx=-2801079473820944892,Approval
C14-2012-0023,https://services.austintexas.gov/edims/document.cfm?idx=2964239553272163188,Disapproval
C14-99-0142,https://services.austintexas.gov/edims/document.cfm?idx=7853279663089483293,Disapproval
C14-00-2026,https://services.austintexas.gov/edims/document.cfm?idx=-6096884419839965393,Approval
C14-03-0015,https://services.austintexas.gov/edims/document.cfm?idx=8701573719510547205,Approval
C14-2009-0049,https://services.austintexas.gov/edims/document.cfm?idx=-8420275641966181463,Approval
C14-03-0050,https://services.austintexas.gov/edims/document.cfm?idx=-8207870716666509485,Approval
C14-2019-0092,https://services.austintexas.gov/edims/document.cfm?idx=7367805888463437938,Disapproval
C14-2019-0054,https://services.austintexas.gov/edims/document.cfm?idx=4795810863984606896,Disapproval
C14-2022-0132,https://services.austintexas.gov/edims/document.cfm?idx=824108118056961111,Approval
C14-01-0071,https://services.austintexas.gov/edims/document.cfm?idx=6263463565581912550,Approval
C14-06-0181,https://services.austintexas.gov/edims/document.cfm?idx=-7505968279967589508,Approval
C14-04-0149.43,https://services.austintexas.gov/edims/document.cfm?idx=8282144692814557137,Approval
C14-05-0075,https://services.austintexas.gov/edims/document.cfm?idx=-7971126063426285190,Disapproval
C14-2012-0154,https://services.austintexas.gov/edims/document.cfm?idx=3257246725941430824,Approval
C14-2010-0068,https://services.austintexas.gov/edims/document.cfm?idx=1373905342470623840,Approval
C14-2020-0015,https://services.austintexas.gov/edims/document.cfm?idx=1493051075810500982,Approval
C14-2023-0033,https://services.austintexas.gov/edims/document.cfm?idx=5836188092055184631,Approval
C14-2021-0017,https://services.austintexas.gov/edims/document.cfm?idx=-8525493998424357387,Approval
C14-99-0132,https://services.austintexas.gov/edims/document.cfm?idx=-1635605981097510986,Approval
C14-2024-0133,https://services.austintexas.gov/edims/document.cfm?idx=-5129651140035830130,Approval
C14-96-0085,https://services.austintexas.gov/edims/document.cfm?idx=-1916459790985978326,Approval
C14-97-0128,https://services.austintexas.gov/edims/document.cfm?idx=8548718483404227607,Approval
C14-02-0131,https://services.austintexas.gov/edims/document.cfm?idx=220296230843549536,Approval
C14-02-0085,https://services.austintexas.gov/edims/document.cfm?idx=-8147598967324293589,Approval
C14-2007-0109,https://services.austintexas.gov/edims/document.cfm?idx=6277551300716498239,Approval
C14-2024-0028,https://services.austintexas.gov/edims/document.cfm?idx=7328658416262211600,Approval
C14-2008-0044.001,https://services.austintexas.gov/edims/document.cfm?idx=5270404225124452768,Approval
C14-2022-0016,https://services.austintexas.gov/edims/document.cfm?idx=2370611302302731966,Approval
C14-98-0234,https://services.austintexas.gov/edims/document.cfm?idx=-1596128331775307402,Approval
C14-05-0214,https://services.austintexas.gov/edims/document.cfm?idx=-1595348253783602319,Approval
C14-2008-0026,https://services.austintexas.gov/edims/document.cfm?idx=-3904352390192299862,Approval
C14-2023-0068,https://services.austintexas.gov/edims/document.cfm?idx=3750006390360788392,Approval
C14-2008-0036,https://services.austintexas.gov/edims/document.cfm?idx=4237753069007066378,Approval
C14-2014-0103,https://services.austintexas.gov/edims/document.cfm?idx=2094247208771505456,Approval
C14-2015-0166,https://services.austintexas.gov/edims/document.cfm?idx=-3742593193624174173,Approval
C14-96-0052,https://services.austintexas.gov/edims/document.cfm?idx=4488516377394771954,Disapproval
C14-03-0165,https://services.austintexas.gov/edims/document.cfm?idx=3484682217265533348,Approval
C14-2017-0058,https://services.austintexas.gov/edims/document.cfm?idx=-9121996823674253444,Disapproval
C14-2025-0085,https://services.austintexas.gov/edims/document.cfm?idx=6646553232693088927,Approval
C14-2023-0036,https://services.austintexas.gov/edims/document.cfm?idx=-8473420617616277184,Approval
C14-06-0029,https://services.austintexas.gov/edims/document.cfm?idx=-675925513085640100,Approval
C14-01-0136,https://services.austintexas.gov/edims/document.cfm?idx=-2750609602377542185,Approval
C14-2013-0044,https://services.austintexas.gov/edims/document.cfm?idx=4281625028126989137,Approval
C14-05-0117,https://services.austintexas.gov/edims/document.cfm?idx=6556919792637858746,Approval
C14-05-0207,https://services.austintexas.gov/edims/document.cfm?idx=6185732822423919575,Approval
C14-2020-0110,https://services.austintexas.gov/edims/document.cfm?idx=-7401749074600445674,Approval
C14-06-0205,https://services.austintexas.gov/edims/document.cfm?idx=-7025463460663296694,Approval
C14-04-0058,https://services.austintexas.gov/edims/document.cfm?idx=2895035665089104230,Approval
C14-2010-0101,https://services.austintexas.gov/edims/document.cfm?idx=8456983309128268715,Approval
C14-2020-0089,https://services.austintexas.gov/edims/document.cfm?idx=3115200523890491464,Disapproval
C14-2011-0011,https://services.austintexas.gov/edims/document.cfm?idx=-1201077876617116240,Disapproval
C14-99-2108,https://services.austintexas.gov/edims/document.cfm?idx=5527212185603392932,Disapproval
C14-04-0073,https://services.austintexas.gov/edims/document.cfm?idx=3088107930523070030,Approval
C14-2011-0103,https://services.austintexas.gov/edims/document.cfm?idx=1563258348471146670,Approval
C14-2023-0095,https://services.austintexas.gov/edims/document.cfm?idx=3158231887028366701,Disapproval
C14-03-0137,https://services.austintexas.gov/edims/document.cfm?idx=4058587016776208323,Approval
C14-04-0158,https://services.austintexas.gov/edims/document.cfm?idx=8267137909664578404,Disapproval
C14-2007-0183,https://services.austintexas.gov/edims/document.cfm?idx=1795826340250374673,Disapproval
C14-2023-0135,https://services.austintexas.gov/edims/document.cfm?idx=-9152200301785744273,Approval
C14-04-0149.05,https://services.austintexas.gov/edims/document.cfm?idx=-5910812472668483913,Approval
C14-2013-0127,https://services.austintexas.gov/edims/document.cfm?idx=-5398440501137837866,Approval
C14-00-2196,https://services.austintexas.gov/edims/document.cfm?idx=-6918203397527707901,Approval
C14-2017-0130,https://services.austintexas.gov/edims/document.cfm?idx=9176414875307473385,Approval
C14-2023-0133,https://services.austintexas.gov/edims/document.cfm?idx=9013268617215194457,Approval
C14-2023-0045,https://services.austintexas.gov/edims/document.cfm?idx=8374280601867197549,Approval
C14-2014-0146,https://services.austintexas.gov/edims/document.cfm?idx=7919446306042563888,Disapproval
C14-00-2158,https://services.austintexas.gov/edims/document.cfm?idx=5244766798904558521,Approval
C14-94-0159,https://services.austintexas.gov/edims/document.cfm?idx=-7801283820903467727,Approval
C14-96-0031,https://services.austintexas.gov/edims/document.cfm?idx=7094211341187442203,Approval
C14-2008-0156,https://services.austintexas.gov/edims/document.cfm?idx=8261107967144387598,Approval
C14-06-0162,https://services.austintexas.gov/edims/document.cfm?idx=3160200800858014945,Disapproval
C14-89-0048,https://services.austintexas.gov/edims/document.cfm?idx=-1533299390834902875,Approval
C14-93-0017,https://services.austintexas.gov/edims/document.cfm?idx=-7284381960322994072,Approval
C14-2021-0033,https://services.austintexas.gov/edims/document.cfm?idx=3309017825599853002,Approval
C14-2011-0073,https://services.austintexas.gov/edims/document.cfm?idx=6648566439611380,Approval
C14-05-0182,https://services.austintexas.gov/edims/document.cfm?idx=1563838851143377536,Approval
C14-2022-0113,https://services.austintexas.gov/edims/document.cfm?idx=-6270091623751641845,Approval
C14-2007-0263.001,https://services.austintexas.gov/edims/document.cfm?idx=-6743892253250932511,Approval
C14-06-0126,https://services.austintexas.gov/edims/document.cfm?idx=-1658354937312133078,Approval
C14-2022-0089,https://services.austintexas.gov/edims/document.cfm?idx=950636396187866560,Approval
C14-2007-0134,https://services.austintexas.gov/edims/document.cfm?idx=5958872899146143058,Approval
C14-01-0144,https://services.austintexas.gov/edims/document.cfm?idx=-6059765463251577859,Approval
C14-2013-0134,https://services.austintexas.gov/edims/document.cfm?idx=8750493385110417026,Disapproval
C14-00-2060,https://services.austintexas.gov/edims/document.cfm?idx=5298547334097410160,Approval
C14-96-0023,https://services.austintexas.gov/edims/document.cfm?idx=-8566147378622513491,Approval
C14-2008-0247,https://services.austintexas.gov/edims/document.cfm?idx=-5923438606948982147,Approval
C14-2022-0203,https://services.austintexas.gov/edims/document.cfm?idx=3320142771003882134,Approval
C14-2021-0179,https://services.austintexas.gov/edims/document.cfm?idx=2014789848058213115,Approval
C14-2022-0055,https://services.austintexas.gov/edims/document.cfm?idx=-7668371113900261813,Approval
C14-05-0167,https://services.austintexas.gov/edims/document.cfm?idx=-869322496880408431,Disapproval
C14-2009-0110,https://services.austintexas.gov/edims/document.cfm?idx=-7307327191618498269,Approval
C14-2017-0059,https://services.austintexas.gov/edims/document.cfm?idx=8661232683745018477,Approval
C14-90-0004,https://services.austintexas.gov/edims/document.cfm?idx=5060339823708447915,Approval
C14-05-0152,https://services.austintexas.gov/edims/document.cfm?idx=-6762366242684748262,Approval
C14-2023-0013,https://services.austintexas.gov/edims/document.cfm?idx=4369387212567863796,Approval
C14-2016-0093,https://services.austintexas.gov/edims/document.cfm?idx=-8935115004264755965,Approval
C14-03-0042,https://services.austintexas.gov/edims/document.cfm?idx=-6779938582958510223,Approval
C14-91-0054,https://services.austintexas.gov/edims/document.cfm?idx=3222124288623819863,Approval
C14-95-0061,https://services.austintexas.gov/edims/document.cfm?idx=-319206336049787061,Approval
C14-2017-0151,https://services.austintexas.gov/edims/document.cfm?idx=-8786719933198173824,Approval
C14-01-0097,https://services.austintexas.gov/edims/document.cfm?idx=6472136244451513219,Approval
C14-98-0039,https://services.austintexas.gov/edims/document.cfm?idx=-1633018692674458577,Approval
C14-2022-0117,https://services.austintexas.gov/edims/document.cfm?idx=483529034554655583,Approval
C14-2025-0096,https://services.austintexas.gov/edims/document.cfm?idx=-6546995272977031073,Approval
C14-2016-0044,https://services.austintexas.gov/edims/document.cfm?idx=5814444235447967010,Approval
C14-03-0177,https://services.austintexas.gov/edims/document.cfm?idx=8552089807269827377,Approval
C14-2010-0193,https://services.austintexas.gov/edims/document.cfm?idx=-9175464116775685522,Approval
C14-03-0147(RCT),https://services.austintexas.gov/edims/document.cfm?idx=6300012865742996690,Approval
C14-2017-0143,https://services.austintexas.gov/edims/document.cfm?idx=-5682863381183802789,Approval
C14-2017-0027,https://services.austintexas.gov/edims/document.cfm?idx=7488668350676232285,Approval
C14-98-0012,https://services.austintexas.gov/edims/document.cfm?idx=-5797283545469328743,Approval
C14-2011-0049,https://services.austintexas.gov/edims/document.cfm?idx=844595361463188057,Approval
C14-96-0159,https://services.austintexas.gov/edims/document.cfm?idx=-3133865629642580700,Approval
C14-2008-0199,https://services.austintexas.gov/edims/document.cfm?idx=-4546910614418050192,Approval
C14-97-0144,https://services.austintexas.gov/edims/document.cfm?idx=-8836506818059317240,Disapproval
C14-87-079,https://services.austintexas.gov/edims/document.cfm?idx=-3005197315839370027,Approval
C14-2020-0044,https://services.austintexas.gov/edims/document.cfm?idx=-7657014011214250612,Approval
C14-72-032(RCT),https://services.austintexas.gov/edims/document.cfm?idx=2761914191534525960,Approval
